job_id,dataset,ranks,num_workers,seed,step,wall_s,startup_s,samples_total,sps_wall,b_med,b_mean,b_p95
41825117,merged,4,8,42,1,852.0,121.7,49600,75.97,0.153,0.421,1.923
41825118,single,8,12,42,2,2896.0,119.1,99200,40.43,0.154,1.583,11.357
41825119,merged,8,8,42,3,833.0,100.7,99200,152.69,0.153,0.419,2.045
41825120,single,1,20,42,4,1540.0,116.8,12400,11.37,0.152,0.704,4.884
41825121,merged,8,12,42,5,713.0,115.9,99200,201.56,0.154,0.318,1.127
41825122,single,4,20,42,6,2399.0,139.4,49600,27.30,0.155,1.172,8.340
41825123,merged,4,12,42,7,770.0,136.2,49600,91.65,0.154,0.349,1.201
41825124,single,8,8,42,8,3566.0,114.9,99200,31.90,0.153,2.006,13.269
41825125,merged,8,20,42,9,686.0,116.5,99200,222.66,0.154,0.287,0.211
41825126,single,1,8,42,10,2640.0,108.6,12400,5.49,0.150,1.458,9.222
41825127,merged,1,20,42,11,400.0,98.7,12400,50.88,0.152,0.157,0.162
41825128,single,4,8,42,12,3016.0,116.2,49600,18.94,0.154,1.690,10.931
41825129,merged,4,20,42,13,522.0,102.2,49600,158.06,0.156,0.202,0.183
41825130,single,4,12,42,14,2328.0,113.6,49600,25.54,0.154,1.253,9.952
41825131,merged,1,8,42,15,413.0,102.8,12400,46.43,0.152,0.172,0.161
41825132,single,1,12,42,16,1777.0,107.8,12400,8.65,0.151,0.925,6.607
41825133,merged,1,12,42,17,381.0,84.4,12400,50.89,0.151,0.157,0.161
41825134,single,8,20,42,18,1907.0,113.0,99200,69.51,0.156,0.921,6.376
41825135,merged,8,8,43,19,570.0,103.2,99200,247.34,0.154,0.259,0.842
41825137,single,4,20,43,20,1880.0,100.2,49600,35.18,0.155,0.910,6.665
41825138,merged,8,20,43,21,460.0,57.6,99200,342.60,0.155,0.187,0.214
41825139,single,1,12,43,22,2065.0,364.7,12400,8.51,0.151,0.940,5.915
41825140,merged,8,12,43,23,601.0,125.6,99200,255.19,0.154,0.251,0.594
41825141,single,1,20,43,24,1321.0,96.1,12400,13.11,0.152,0.610,3.520
