job_id,dataset,ranks,num_workers,seed,step,wall_s,startup_s,samples_total,sps_wall,b_med,b_mean,b_p95
41825154,merged,4,12,44,37,431.0,115.0,49600,197.14,0.156,0.162,0.177
41825155,single,8,8,44,38,2887.0,118.1,99200,39.57,0.153,1.617,11.099
41825156,merged,4,20,44,39,457.0,117.4,49600,192.25,0.157,0.166,0.188
41825157,single,4,20,44,40,1703.0,50.3,49600,37.78,0.155,0.847,6.264
41825158,merged,1,8,44,41,370.0,93.2,12400,52.03,0.152,0.154,0.162
41825159,single,4,8,44,42,2939.0,129.9,49600,20.01,0.153,1.599,11.148
41825160,merged,1,20,44,43,406.0,95.3,12400,52.18,0.151,0.153,0.163
41825162,single,1,20,44,44,1227.0,48.3,12400,13.62,0.151,0.588,3.997
41825163,merged,8,20,44,45,465.0,91.0,99200,371.49,0.157,0.172,0.208
41825164,single,4,12,44,46,2068.0,37.3,49600,27.69,0.154,1.156,11.226
41825166,merged,4,8,44,47,483.0,156.6,49600,186.64,0.155,0.171,0.188
41825167,single,8,20,44,48,1803.0,90.9,99200,73.12,0.156,0.875,6.239
41825169,merged,8,12,44,49,409.0,86.9,99200,380.82,0.157,0.168,0.208
41825171,single,8,12,44,50,2144.0,58.7,99200,54.27,0.154,1.179,11.527
41825173,merged,1,12,44,51,394.0,110.2,12400,52.35,0.152,0.153,0.160
41825174,single,1,8,44,52,2367.0,65.9,12400,6.12,0.151,1.308,9.187
41825177,single,1,12,44,54,1745.0,79.9,12400,8.69,0.151,0.921,5.592
