index,tensor,candidate,shape,ok,max_diff,mean_diff,n_mismatched,cand_min,cand_max,ref_min,ref_max,cand_uniq,ref_uniq
3810796,x_continuous,new,"(2, 15, 256, 256)",True,4.76837158203125e-07,9.289065479774668e-10,0,-1.2869420051574707,6.432707786560059,-1.2869420051574707,6.432707786560059,,
3810796,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,26.0,29.0,26.0,29.0,"[26.0, 27.0, 29.0]","[26.0, 27.0, 29.0]"
3810796,x_static,new,"(6, 256, 256)",False,1469.72984623909,115.5295991910967,393216,0.05110545828938484,1471.0,-2.0841405391693115,5.367453098297119,,
3810796,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,1.0,7.0,1.0,7.0,,
3810796,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,1.0,7.0,1.0,7.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
3810796,x_continuous,preprocessed,"(2, 15, 256, 256)",False,1.530761405825615,0.046598341228661355,393216,-0.5791038870811462,6.434314250946045,-1.2869420051574707,6.432707786560059,,
3810796,x_kg,preprocessed,"(2, 1, 256, 256)",True,0.0,0.0,0,26.0,29.0,26.0,29.0,"[26.0, 27.0, 29.0]","[26.0, 27.0, 29.0]"
3810796,x_static,preprocessed,"(6, 256, 256)",False,3.073284685611725,0.19177837565097777,131072,-1.569628357887268,5.367453098297119,-2.0841405391693115,5.367453098297119,,
3810796,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,2.98974609375,65451,7.0,7.0,1.0,7.0,,
3810796,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,2.98974609375,130902,7.0,7.0,1.0,7.0,[7.0],"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2853588,x_continuous,new,"(2, 15, 256, 256)",True,9.5367431640625e-07,1.4316962430408844e-10,0,-18.42068099975586,2.6867246627807617,-18.42068099975586,2.6867246627807617,,
2853588,x_kg,new,"(2, 1, 256, 256)",False,31.0,16.30224609375,68928,0.0,29.0,19.0,31.0,"[0.0, 19.0, 27.0, 29.0]","[19.0, 27.0, 29.0, 31.0]"
2853588,x_static,new,"(6, 256, 256)",False,345.5531966686249,30.92746656341782,223186,-24.0,347.6730651855469,-2.188459873199463,2.5680625438690186,,
2853588,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,,
2853588,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,"[0.0, 1.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[0.0, 1.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2853588,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,1.1690312985649316,393216,-0.7534939646720886,2.7526092529296875,-18.42068099975586,2.6867246627807617,,
2853588,x_kg,preprocessed,"(2, 1, 256, 256)",False,31.0,16.30224609375,68928,0.0,29.0,19.0,31.0,"[0.0, 19.0, 27.0, 29.0]","[19.0, 27.0, 29.0, 31.0]"
2853588,x_static,preprocessed,"(6, 256, 256)",False,3.296881675720215,0.9236990587216507,266928,-3.296881675720215,2.5680623054504395,-2.188459873199463,2.5680625438690186,,
2853588,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,1.153045654296875,30133,0.0,7.0,0.0,7.0,,
2853588,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,1.153045654296875,60266,0.0,7.0,0.0,7.0,"[0.0, 7.0]","[0.0, 1.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2289891,x_continuous,new,"(2, 15, 256, 256)",True,9.5367431640625e-07,9.565119850109735e-10,0,-18.42068099975586,8.001367568969727,-18.42068099975586,8.001367568969727,,
2289891,x_kg,new,"(2, 1, 256, 256)",False,31.0,7.9198150634765625,33486,0.0,29.0,9.0,31.0,"[0.0, 9.0, 10.0, 15.0, 16.0, 18.0, 19.0, 26.0, 27.0, 29.0]","[9.0, 10.0, 15.0, 16.0, 18.0, 19.0, 26.0, 27.0, 29.0, 31.0]"
2289891,x_static,new,"(6, 256, 256)",False,2540.3260744810104,85.96362344507209,312499,-1003.0,2542.0,-2.3945300579071045,7.9950385093688965,,
2289891,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,,
2289891,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
