START TIME: Fri Jun 26 07:49:05 CEST 2026
arm,sample_idx,wall_ms
single_small,0,3672.268
single_small,1,1247.084
single_small,2,1358.440
single_small,3,1419.119
single_small,4,1524.138
single_small,5,1263.086
single_small,6,1304.176
single_small,7,1477.586
single_small,8,1445.493
single_small,9,1239.453
single_small,10,1245.988
single_small,11,1290.258
single_small,12,1285.495
single_small,13,1190.967
single_small,14,1311.907
single_small,15,1422.327
single_small,16,1263.852
single_small,17,1228.696
single_small,18,1626.573
single_small,19,1141.603
single_small,20,1230.727
single_small,21,1236.015
single_small,22,1241.570
single_small,23,1297.934
single_small,24,1227.845
single_small,25,1275.112
single_small,26,1261.864
single_small,27,1148.546
single_small,28,1198.220
single_small,29,1168.774
single_small,30,1386.001
single_small,31,1333.426
single_small,32,1281.647
single_small,33,1293.429
single_small,34,1589.766
single_small,35,1071.723
single_small,36,1346.254
single_small,37,1400.384
single_small,38,1215.123
single_small,39,1246.003
single_small,40,1264.266
single_small,41,1286.953
single_small,42,1351.997
single_small,43,1252.268
single_small,44,1310.898
single_small,45,1234.569
single_small,46,1287.395
single_small,47,1300.467
single_small,48,1275.945
single_small,49,1501.237
single_small,50,1324.197
single_small,51,1349.253
single_small,52,1242.162
single_small,53,1408.468
single_small,54,1324.647
single_small,55,1276.451
single_small,56,1221.187
single_small,57,1293.093
single_small,58,1401.842
single_small,59,1280.232
single_small,60,1522.008
single_small,61,1359.513
single_small,62,1762.647
single_small,63,1314.282
single_small,64,1354.881
single_small,65,1317.499
single_small,66,1398.493
single_small,67,1244.040
single_small,68,1192.743
single_small,69,1282.747
single_small,70,1136.199
single_small,71,1293.939
single_small,72,1288.859
single_small,73,1425.757
single_small,74,1260.844
single_small,75,1335.553
single_small,76,1269.351
single_small,77,1247.265
single_small,78,1194.986
single_small,79,1582.454
single_small,80,1428.616
single_small,81,1230.378
single_small,82,1350.596
single_small,83,1232.936
single_small,84,1166.522
single_small,85,1261.265
single_small,86,1308.155
single_small,87,1301.299
single_small,88,1165.735
single_small,89,1228.820
single_small,90,1298.951
single_small,91,1375.973
single_small,92,1226.376
single_small,93,1135.108
single_small,94,1649.169
single_small,95,1339.285
single_small,96,1282.577
single_small,97,1232.788
single_small,98,1220.847
single_small,99,1320.259
single_big,0,5705.340
single_big,1,5337.464
single_big,2,5339.040
single_big,3,5360.909
single_big,4,6340.765
single_big,5,5243.199
single_big,6,5194.238
single_big,7,5320.064
single_big,8,5194.541
single_big,9,5161.770
single_big,10,5243.016
single_big,11,5817.315
single_big,12,5269.465
single_big,13,5526.852
single_big,14,5339.710
single_big,15,5247.890
single_big,16,5496.671
single_big,17,5579.899
single_big,18,6190.018
single_big,19,5585.857
single_big,20,5638.989
single_big,21,5302.993
single_big,22,5354.382
single_big,23,5355.876
single_big,24,5223.138
single_big,25,5185.955
single_big,26,5268.814
single_big,27,5133.179
single_big,28,5161.847
single_big,29,5266.782
single_big,30,5279.884
single_big,31,5374.417
single_big,32,5242.644
single_big,33,5613.111
single_big,34,5263.301
single_big,35,5134.194
single_big,36,5413.239
single_big,37,5558.944
single_big,38,5220.549
single_big,39,5265.481
single_big,40,5367.133
single_big,41,5349.845
single_big,42,5455.647
single_big,43,5282.155
single_big,44,5282.139
single_big,45,5245.419
single_big,46,5394.386
single_big,47,5746.617
single_big,48,5255.065
single_big,49,5306.368
single_big,50,5281.290
single_big,51,5294.168
single_big,52,5283.031
single_big,53,5496.353
single_big,54,5393.948
single_big,55,5244.025
single_big,56,5388.633
single_big,57,5352.026
single_big,58,5443.397
single_big,59,5463.059
single_big,60,5252.389
single_big,61,5773.854
single_big,62,5420.614
single_big,63,5299.157
single_big,64,5318.743
single_big,65,5362.639
single_big,66,5414.613
single_big,67,5308.549
single_big,68,5358.758
single_big,69,5413.717
single_big,70,5323.178
single_big,71,5295.978
single_big,72,5402.186
single_big,73,5401.963
single_big,74,5349.234
single_big,75,5249.075
single_big,76,5644.598
single_big,77,5285.179
single_big,78,5344.200
single_big,79,5240.611
single_big,80,5437.721
single_big,81,5215.847
single_big,82,5569.469
single_big,83,5351.996
single_big,84,5360.977
single_big,85,5355.465
single_big,86,5258.814
single_big,87,5439.810
single_big,88,5264.681
single_big,89,5215.672
single_big,90,5438.125
single_big,91,5628.567
single_big,92,5361.340
single_big,93,5304.575
single_big,94,5626.587
single_big,95,5396.534
single_big,96,5474.369
single_big,97,5330.045
single_big,98,5276.491
single_big,99,5498.345
merged_small,0,159.361
merged_small,1,129.523
merged_small,2,154.383
merged_small,3,161.518
merged_small,4,116.335
merged_small,5,148.222
merged_small,6,124.779
merged_small,7,135.957
merged_small,8,124.132
merged_small,9,107.723
merged_small,10,138.011
merged_small,11,177.070
merged_small,12,149.931
merged_small,13,107.658
merged_small,14,104.137
merged_small,15,149.283
merged_small,16,129.232
merged_small,17,122.773
merged_small,18,153.430
merged_small,19,90.809
merged_small,20,107.289
merged_small,21,142.960
merged_small,22,151.964
merged_small,23,170.283
merged_small,24,118.435
merged_small,25,136.534
merged_small,26,157.185
merged_small,27,100.508
merged_small,28,112.095
merged_small,29,99.365
merged_small,30,166.032
merged_small,31,132.203
merged_small,32,120.228
merged_small,33,143.987
merged_small,34,127.948
merged_small,35,68.054
merged_small,36,123.309
merged_small,37,157.030
merged_small,38,141.574
merged_small,39,136.254
merged_small,40,98.309
merged_small,41,122.357
merged_small,42,101.635
merged_small,43,101.259
merged_small,44,124.664
merged_small,45,144.334
merged_small,46,122.577
merged_small,47,121.835
merged_small,48,120.186
merged_small,49,147.333
merged_small,50,165.234
merged_small,51,143.899
merged_small,52,125.405
merged_small,53,113.133
merged_small,54,131.565
merged_small,55,134.979
merged_small,56,100.556
merged_small,57,139.235
merged_small,58,142.734
merged_small,59,153.160
merged_small,60,146.459
merged_small,61,152.179
merged_small,62,175.391
merged_small,63,121.806
merged_small,64,122.020
merged_small,65,138.729
merged_small,66,152.509
merged_small,67,136.222
merged_small,68,140.506
merged_small,69,177.832
merged_small,70,280.890
merged_small,71,145.842
merged_small,72,154.484
merged_small,73,145.696
merged_small,74,124.137
merged_small,75,147.534
merged_small,76,139.711
merged_small,77,114.025
merged_small,78,101.857
merged_small,79,140.222
merged_small,80,142.673
merged_small,81,93.172
merged_small,82,157.045
merged_small,83,148.878
merged_small,84,129.619
merged_small,85,155.656
merged_small,86,207.288
merged_small,87,123.288
merged_small,88,103.105
merged_small,89,120.302
merged_small,90,119.515
merged_small,91,145.498
merged_small,92,108.932
merged_small,93,78.360
merged_small,94,147.386
merged_small,95,155.134
merged_small,96,144.670
merged_small,97,102.409
merged_small,98,135.476
merged_small,99,163.171
merged_big,0,289.709
merged_big,1,281.979
merged_big,2,296.072
merged_big,3,250.230
merged_big,4,306.370
merged_big,5,288.805
merged_big,6,251.210
merged_big,7,302.957
merged_big,8,248.912
merged_big,9,265.375
merged_big,10,248.379
merged_big,11,302.666
merged_big,12,282.322
merged_big,13,262.717
merged_big,14,218.891
merged_big,15,293.472
merged_big,16,247.776
merged_big,17,254.102
merged_big,18,277.396
merged_big,19,222.856
merged_big,20,242.796
merged_big,21,294.865
merged_big,22,287.125
merged_big,23,283.375
merged_big,24,265.253
merged_big,25,279.703
merged_big,26,281.370
merged_big,27,255.488
merged_big,28,234.759
merged_big,29,224.446
merged_big,30,295.432
merged_big,31,278.535
merged_big,32,282.826
merged_big,33,284.227
merged_big,34,247.561
merged_big,35,203.451
merged_big,36,258.246
merged_big,37,290.811
merged_big,38,280.487
merged_big,39,251.942
merged_big,40,234.121
merged_big,41,236.441
merged_big,42,273.195
merged_big,43,259.857
merged_big,44,264.993
merged_big,45,288.431
merged_big,46,292.929
merged_big,47,280.068
merged_big,48,229.915
merged_big,49,299.340
merged_big,50,290.887
merged_big,51,278.869
merged_big,52,227.486
merged_big,53,253.053
merged_big,54,240.740
merged_big,55,288.421
merged_big,56,260.578
merged_big,57,281.541
merged_big,58,264.116
merged_big,59,293.118
merged_big,60,287.420
merged_big,61,284.476
merged_big,62,312.039
merged_big,63,227.631
merged_big,64,268.368
merged_big,65,284.411
merged_big,66,274.646
merged_big,67,243.462
merged_big,68,263.470
merged_big,69,290.533
merged_big,70,248.513
merged_big,71,277.094
merged_big,72,283.664
merged_big,73,278.171
merged_big,74,255.959
merged_big,75,290.842
merged_big,76,260.669
merged_big,77,277.334
merged_big,78,206.899
merged_big,79,278.789
merged_big,80,276.056
merged_big,81,262.163
merged_big,82,273.383
merged_big,83,284.888
merged_big,84,255.371
merged_big,85,284.718
merged_big,86,275.477
merged_big,87,268.122
merged_big,88,246.361
merged_big,89,275.283
merged_big,90,281.392
merged_big,91,299.379
merged_big,92,282.804
merged_big,93,220.209
merged_big,94,261.871
merged_big,95,327.867
merged_big,96,368.312
merged_big,97,278.735
merged_big,98,304.049
merged_big,99,381.028
merged_big_raw,0,55.633
merged_big_raw,1,33.912
merged_big_raw,2,33.388
merged_big_raw,3,46.968
merged_big_raw,4,39.646
merged_big_raw,5,39.926
merged_big_raw,6,30.082
merged_big_raw,7,44.448
merged_big_raw,8,38.134
merged_big_raw,9,28.163
merged_big_raw,10,33.785
merged_big_raw,11,41.481
merged_big_raw,12,48.225
merged_big_raw,13,33.657
merged_big_raw,14,31.284
merged_big_raw,15,50.409
merged_big_raw,16,36.042
merged_big_raw,17,27.803
merged_big_raw,18,80.799
merged_big_raw,19,28.679
merged_big_raw,20,32.808
merged_big_raw,21,52.780
merged_big_raw,22,49.755
merged_big_raw,23,48.486
merged_big_raw,24,28.681
merged_big_raw,25,32.002
merged_big_raw,26,42.471
merged_big_raw,27,27.624
merged_big_raw,28,30.485
merged_big_raw,29,27.507
merged_big_raw,30,81.703
merged_big_raw,31,48.274
merged_big_raw,32,36.151
merged_big_raw,33,43.170
merged_big_raw,34,30.655
merged_big_raw,35,33.075
merged_big_raw,36,37.627
merged_big_raw,37,76.591
merged_big_raw,38,34.136
merged_big_raw,39,34.157
merged_big_raw,40,29.907
merged_big_raw,41,33.585
merged_big_raw,42,38.548
merged_big_raw,43,29.803
merged_big_raw,44,37.012
merged_big_raw,45,32.765
merged_big_raw,46,35.446
merged_big_raw,47,31.781
merged_big_raw,48,33.234
merged_big_raw,49,49.455
merged_big_raw,50,38.637
merged_big_raw,51,40.534
merged_big_raw,52,32.820
merged_big_raw,53,39.303
merged_big_raw,54,38.435
merged_big_raw,55,49.125
merged_big_raw,56,32.660
merged_big_raw,57,45.880
merged_big_raw,58,61.690
merged_big_raw,59,52.664
merged_big_raw,60,52.504
merged_big_raw,61,47.341
merged_big_raw,62,83.533
merged_big_raw,63,33.790
merged_big_raw,64,41.723
merged_big_raw,65,46.860
merged_big_raw,66,43.889
merged_big_raw,67,37.011
merged_big_raw,68,37.347
merged_big_raw,69,47.029
merged_big_raw,70,29.290
merged_big_raw,71,46.179
merged_big_raw,72,46.162
merged_big_raw,73,50.245
merged_big_raw,74,31.235
merged_big_raw,75,53.177
merged_big_raw,76,35.499
merged_big_raw,77,29.700
merged_big_raw,78,27.214
merged_big_raw,79,34.279
merged_big_raw,80,55.355
merged_big_raw,81,34.043
merged_big_raw,82,77.210
merged_big_raw,83,48.101
merged_big_raw,84,29.113
merged_big_raw,85,31.046
merged_big_raw,86,37.657
merged_big_raw,87,34.418
merged_big_raw,88,27.207
merged_big_raw,89,28.139
merged_big_raw,90,33.021
merged_big_raw,91,51.961
merged_big_raw,92,34.530
merged_big_raw,93,26.752
merged_big_raw,94,74.755
merged_big_raw,95,49.321
merged_big_raw,96,51.797
merged_big_raw,97,31.683
merged_big_raw,98,30.325
merged_big_raw,99,82.199
multi,0,8038.513
multi,1,7771.081
multi,2,7902.960
multi,3,8221.552
multi,4,7987.774
multi,5,7874.970
multi,6,7846.066
multi,7,7956.196
multi,8,7950.903
multi,9,7815.356
multi,10,7896.398
multi,11,8031.852
multi,12,7813.103
multi,13,7968.578
multi,14,7783.020
multi,15,7865.697
multi,16,7825.421
multi,17,8130.566
multi,18,8055.924
multi,19,7900.267
multi,20,7808.124
multi,21,7829.019
multi,22,7835.483
multi,23,7789.207
multi,24,7729.293
multi,25,7714.964
multi,26,7799.822
multi,27,7777.743
multi,28,7811.839
multi,29,7772.485
multi,30,7940.599
multi,31,7937.634
multi,32,8750.527
multi,33,7736.833
multi,34,8393.780
multi,35,8133.969
multi,36,8277.752
multi,37,8550.867
multi,38,8299.580
multi,39,8160.161
multi,40,8190.971
multi,41,7813.559
multi,42,8102.627
multi,43,8099.424
multi,44,7950.819
multi,45,8135.619
multi,46,7897.789
multi,47,8006.062
multi,48,7845.929
multi,49,8066.766
multi,50,7943.322
multi,51,8147.988
