epoch,batch,delta_s
1,200,29.613
1,300,27.996
1,400,27.603
1,500,26.930
1,600,26.461
1,700,24.736
1,800,25.369
1,900,23.631
1,1000,24.853
1,1100,23.314
1,1200,23.787
1,1300,23.943
1,1400,23.689
1,1500,24.340
1,1600,24.383
1,1700,23.253
1,1800,23.132
1,1900,24.418
1,2000,23.796
1,2100,25.505
1,2200,23.482
1,2300,23.774
1,2400,25.605
1,2500,25.765
2,200,28.581
2,300,25.378
2,400,25.969
2,500,28.174
2,600,27.276
2,700,25.604
2,800,25.178
2,900,24.666
2,1000,25.570
2,1100,27.160
2,1200,25.659
2,1300,26.380
2,1400,27.630
2,1500,26.934
2,1600,28.464
2,1700,30.203
2,1800,27.403
2,1900,26.210
2,2000,27.736
2,2100,25.940
2,2200,26.693
2,2300,27.842
2,2400,27.626
2,2500,27.465
3,200,29.279
3,300,28.798
3,400,27.645
3,500,27.890
3,600,26.041
3,700,26.853
3,800,25.038
3,900,25.232
3,1000,27.750
3,1100,27.247
3,1200,28.230
3,1300,27.646
3,1400,25.629
3,1500,27.418
3,1600,28.339
3,1700,27.866
3,1800,25.406
3,1900,25.663
3,2000,28.380
3,2100,27.796
3,2200,26.623
3,2300,25.297
3,2400,26.034
3,2500,29.191
4,200,27.986
4,300,28.200
4,400,27.225
