START TIME: Wed Jun 24 20:12:16 CEST 2026
Master: as05r2b26:29500
Launch command: uv run accelerate launch     --multi_gpu     --num_processes $(( 4 * 4 ))     --num_machines 4     --machine_rank ${SLURM_PROCID}     --main_process_ip as05r2b26     --main_process_port 29500     --mixed_precision bf16     --dynamo_backend no     /gpfs/scratch/bsc32/bsc096444/ai4land-tfm/src/ai4land/training/train.py     --config-name final-training-w20     system.slurm_job_id=42413749     training.resume.path=
[2026-06-24 20:13:50,335][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-24 20:13:50,348][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-24 20:13:51,695][root][INFO] - Train: 13120000 samples, Val: 2624000 samples
[2026-06-24 20:13:54,221][root][INFO] - Starting training from epoch 1
[2026-06-24 20:14:03,853][root][INFO] - Epoch [1/10], Batch [1/2500], Loss: 2.2738 (Overall: 2.2566, Change: 2.2910), TF Ratio: 1.000
[2026-06-24 20:14:04,034][root][INFO] - Epoch [1/10], Batch [2/2500], Loss: 2.2121 (Overall: 2.3351, Change: 1.9656), TF Ratio: 1.000
[2026-06-24 20:14:04,190][root][INFO] - Epoch [1/10], Batch [3/2500], Loss: 2.1792 (Overall: 2.1354, Change: 2.0912), TF Ratio: 0.999
[2026-06-24 20:14:10,064][root][INFO] - Epoch [1/10], Batch [4/2500], Loss: 2.1784 (Overall: 2.2103, Change: 2.1416), TF Ratio: 0.999
[2026-06-24 20:14:10,222][root][INFO] - Epoch [1/10], Batch [5/2500], Loss: 2.1111 (Overall: 1.9596, Change: 1.7247), TF Ratio: 0.999
[2026-06-24 20:14:10,379][root][INFO] - Epoch [1/10], Batch [6/2500], Loss: 2.0823 (Overall: 1.8677, Change: 2.0089), TF Ratio: 0.999
[2026-06-24 20:14:10,542][root][INFO] - Epoch [1/10], Batch [7/2500], Loss: 2.0865 (Overall: 1.9979, Change: 2.2258), TF Ratio: 0.999
[2026-06-24 20:14:10,857][root][INFO] - Epoch [1/10], Batch [8/2500], Loss: 2.0777 (Overall: 2.0516, Change: 1.9800), TF Ratio: 0.998
[2026-06-24 20:14:11,014][root][INFO] - Epoch [1/10], Batch [9/2500], Loss: 2.0507 (Overall: 1.7596, Change: 1.9093), TF Ratio: 0.998
[2026-06-24 20:14:11,170][root][INFO] - Epoch [1/10], Batch [10/2500], Loss: 2.0389 (Overall: 2.1339, Change: 1.7312), TF Ratio: 0.998
[2026-06-24 20:14:11,326][root][INFO] - Epoch [1/10], Batch [11/2500], Loss: 2.0316 (Overall: 1.7988, Change: 2.1185), TF Ratio: 0.998
[2026-06-24 20:14:11,697][root][INFO] - Epoch [1/10], Batch [12/2500], Loss: 2.0113 (Overall: 1.6970, Change: 1.8792), TF Ratio: 0.998
[2026-06-24 20:14:11,854][root][INFO] - Epoch [1/10], Batch [13/2500], Loss: 1.9860 (Overall: 1.6653, Change: 1.6991), TF Ratio: 0.997
[2026-06-24 20:14:12,010][root][INFO] - Epoch [1/10], Batch [14/2500], Loss: 1.9606 (Overall: 1.5445, Change: 1.7173), TF Ratio: 0.997
[2026-06-24 20:14:12,169][root][INFO] - Epoch [1/10], Batch [15/2500], Loss: 1.9421 (Overall: 1.6344, Change: 1.7312), TF Ratio: 0.997
[2026-06-24 20:14:12,545][root][INFO] - Epoch [1/10], Batch [16/2500], Loss: 1.9207 (Overall: 1.6686, Change: 1.5313), TF Ratio: 0.997
[2026-06-24 20:14:12,702][root][INFO] - Epoch [1/10], Batch [17/2500], Loss: 1.9056 (Overall: 1.4721, Change: 1.8574), TF Ratio: 0.997
[2026-06-24 20:14:12,861][root][INFO] - Epoch [1/10], Batch [18/2500], Loss: 1.8950 (Overall: 1.6451, Change: 1.7839), TF Ratio: 0.996
[2026-06-24 20:14:13,018][root][INFO] - Epoch [1/10], Batch [19/2500], Loss: 1.8915 (Overall: 1.7474, Change: 1.9086), TF Ratio: 0.996
[2026-06-24 20:14:13,227][root][INFO] - Epoch [1/10], Batch [20/2500], Loss: 1.8792 (Overall: 1.4723, Change: 1.8176), TF Ratio: 0.996
[2026-06-24 20:14:13,386][root][INFO] - Epoch [1/10], Batch [21/2500], Loss: 1.8636 (Overall: 1.4796, Change: 1.6248), TF Ratio: 0.996
[2026-06-24 20:14:13,540][root][INFO] - Epoch [1/10], Batch [22/2500], Loss: 1.8532 (Overall: 1.5021, Change: 1.7671), TF Ratio: 0.996
[2026-06-24 20:14:13,696][root][INFO] - Epoch [1/10], Batch [23/2500], Loss: 1.8486 (Overall: 1.7502, Change: 1.7446), TF Ratio: 0.995
[2026-06-24 20:14:14,598][root][INFO] - Epoch [1/10], Batch [24/2500], Loss: 1.8351 (Overall: 1.4277, Change: 1.6232), TF Ratio: 0.995
[2026-06-24 20:14:14,761][root][INFO] - Epoch [1/10], Batch [25/2500], Loss: 1.8218 (Overall: 1.5506, Change: 1.4539), TF Ratio: 0.995
[2026-06-24 20:14:14,915][root][INFO] - Epoch [1/10], Batch [26/2500], Loss: 1.8129 (Overall: 1.4935, Change: 1.6883), TF Ratio: 0.995
[2026-06-24 20:14:15,075][root][INFO] - Epoch [1/10], Batch [27/2500], Loss: 1.8008 (Overall: 1.3546, Change: 1.6156), TF Ratio: 0.995
[2026-06-24 20:14:15,306][root][INFO] - Epoch [1/10], Batch [28/2500], Loss: 1.7994 (Overall: 1.5436, Change: 1.9804), TF Ratio: 0.994
[2026-06-24 20:14:15,467][root][INFO] - Epoch [1/10], Batch [29/2500], Loss: 1.7892 (Overall: 1.3340, Change: 1.6755), TF Ratio: 0.994
[2026-06-24 20:14:15,627][root][INFO] - Epoch [1/10], Batch [30/2500], Loss: 1.7837 (Overall: 1.3116, Change: 1.9356), TF Ratio: 0.994
[2026-06-24 20:14:15,784][root][INFO] - Epoch [1/10], Batch [31/2500], Loss: 1.7800 (Overall: 1.6097, Change: 1.7266), TF Ratio: 0.994
[2026-06-24 20:14:16,169][root][INFO] - Epoch [1/10], Batch [32/2500], Loss: 1.7721 (Overall: 1.4420, Change: 1.6141), TF Ratio: 0.994
[2026-06-24 20:14:16,346][root][INFO] - Epoch [1/10], Batch [33/2500], Loss: 1.7629 (Overall: 1.2804, Change: 1.6586), TF Ratio: 0.993
[2026-06-24 20:14:16,502][root][INFO] - Epoch [1/10], Batch [34/2500], Loss: 1.7556 (Overall: 1.6604, Change: 1.3636), TF Ratio: 0.993
[2026-06-24 20:14:16,667][root][INFO] - Epoch [1/10], Batch [35/2500], Loss: 1.7478 (Overall: 1.3050, Change: 1.6647), TF Ratio: 0.993
