START TIME: Thu Jun 25 09:04:53 CEST 2026
Master: as04r1b01:29500
Launch command: uv run accelerate launch     --multi_gpu     --num_processes $(( 1 * 4 ))     --num_machines 1     --machine_rank ${SLURM_PROCID}     --main_process_ip as04r1b01     --main_process_port 29500     --mixed_precision bf16     --dynamo_backend no     /gpfs/scratch/bsc32/bsc096444/ai4land-tfm/src/ai4land/training/train.py     --config-name final-training-w20     system.slurm_job_id=42417955     training.resume.path=
[2026-06-25 09:06:20,314][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-25 09:06:20,329][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-25 09:06:21,847][root][INFO] - Train: 13120000 samples, Val: 2624000 samples
[2026-06-25 09:06:23,344][root][INFO] - Starting training from epoch 1
[2026-06-25 09:06:35,027][root][INFO] - Epoch [1/10], Batch [1/2500], Loss: 2.0298 (Overall: 2.1794, Change: 1.8802), TF Ratio: 1.000
[2026-06-25 09:06:36,146][root][INFO] - Epoch [1/10], Batch [2/2500], Loss: 2.0845 (Overall: 2.1741, Change: 2.1043), TF Ratio: 1.000
[2026-06-25 09:06:36,302][root][INFO] - Epoch [1/10], Batch [3/2500], Loss: 2.1140 (Overall: 2.1620, Change: 2.1838), TF Ratio: 0.999
[2026-06-25 09:06:36,527][root][INFO] - Epoch [1/10], Batch [4/2500], Loss: 2.1429 (Overall: 2.2306, Change: 2.2285), TF Ratio: 0.999
[2026-06-25 09:06:36,692][root][INFO] - Epoch [1/10], Batch [5/2500], Loss: 2.0831 (Overall: 1.8821, Change: 1.8060), TF Ratio: 0.999
[2026-06-25 09:06:36,848][root][INFO] - Epoch [1/10], Batch [6/2500], Loss: 2.0786 (Overall: 1.9000, Change: 2.2123), TF Ratio: 0.999
[2026-06-25 09:06:37,003][root][INFO] - Epoch [1/10], Batch [7/2500], Loss: 2.0579 (Overall: 1.8861, Change: 1.9817), TF Ratio: 0.999
[2026-06-25 09:06:37,377][root][INFO] - Epoch [1/10], Batch [8/2500], Loss: 2.0542 (Overall: 1.9462, Change: 2.1093), TF Ratio: 0.998
[2026-06-25 09:06:37,532][root][INFO] - Epoch [1/10], Batch [9/2500], Loss: 2.0412 (Overall: 1.9071, Change: 1.9674), TF Ratio: 0.998
[2026-06-25 09:06:37,686][root][INFO] - Epoch [1/10], Batch [10/2500], Loss: 2.0235 (Overall: 1.8436, Change: 1.8842), TF Ratio: 0.998
[2026-06-25 09:06:37,861][root][INFO] - Epoch [1/10], Batch [11/2500], Loss: 1.9946 (Overall: 1.5920, Change: 1.8208), TF Ratio: 0.998
[2026-06-25 09:06:38,030][root][INFO] - Epoch [1/10], Batch [12/2500], Loss: 1.9774 (Overall: 1.7431, Change: 1.8329), TF Ratio: 0.998
[2026-06-25 09:06:38,188][root][INFO] - Epoch [1/10], Batch [13/2500], Loss: 1.9633 (Overall: 1.7628, Change: 1.8242), TF Ratio: 0.997
[2026-06-25 09:06:38,342][root][INFO] - Epoch [1/10], Batch [14/2500], Loss: 1.9491 (Overall: 1.7600, Change: 1.7711), TF Ratio: 0.997
[2026-06-25 09:06:38,502][root][INFO] - Epoch [1/10], Batch [15/2500], Loss: 1.9301 (Overall: 1.5762, Change: 1.7520), TF Ratio: 0.997
[2026-06-25 09:06:38,845][root][INFO] - Epoch [1/10], Batch [16/2500], Loss: 1.9150 (Overall: 1.5102, Change: 1.8654), TF Ratio: 0.997
[2026-06-25 09:06:39,002][root][INFO] - Epoch [1/10], Batch [17/2500], Loss: 1.8955 (Overall: 1.4205, Change: 1.7472), TF Ratio: 0.997
[2026-06-25 09:06:39,157][root][INFO] - Epoch [1/10], Batch [18/2500], Loss: 1.8815 (Overall: 1.5080, Change: 1.7800), TF Ratio: 0.996
[2026-06-25 09:06:39,314][root][INFO] - Epoch [1/10], Batch [19/2500], Loss: 1.8702 (Overall: 1.6692, Change: 1.6647), TF Ratio: 0.996
[2026-06-25 09:06:40,344][root][INFO] - Epoch [1/10], Batch [20/2500], Loss: 1.8644 (Overall: 1.5611, Change: 1.9438), TF Ratio: 0.996
[2026-06-25 09:06:40,500][root][INFO] - Epoch [1/10], Batch [21/2500], Loss: 1.8582 (Overall: 1.5490, Change: 1.9229), TF Ratio: 0.996
[2026-06-25 09:06:40,665][root][INFO] - Epoch [1/10], Batch [22/2500], Loss: 1.8483 (Overall: 1.4220, Change: 1.8570), TF Ratio: 0.996
[2026-06-25 09:06:40,822][root][INFO] - Epoch [1/10], Batch [23/2500], Loss: 1.8362 (Overall: 1.4823, Change: 1.6594), TF Ratio: 0.995
[2026-06-25 09:06:41,822][root][INFO] - Epoch [1/10], Batch [24/2500], Loss: 1.8278 (Overall: 1.4000, Change: 1.8696), TF Ratio: 0.995
[2026-06-25 09:06:41,978][root][INFO] - Epoch [1/10], Batch [25/2500], Loss: 1.8194 (Overall: 1.4925, Change: 1.7395), TF Ratio: 0.995
[2026-06-25 09:06:42,134][root][INFO] - Epoch [1/10], Batch [26/2500], Loss: 1.8107 (Overall: 1.4225, Change: 1.7654), TF Ratio: 0.995
[2026-06-25 09:06:42,306][root][INFO] - Epoch [1/10], Batch [27/2500], Loss: 1.8062 (Overall: 1.5440, Change: 1.8351), TF Ratio: 0.995
[2026-06-25 09:06:42,506][root][INFO] - Epoch [1/10], Batch [28/2500], Loss: 1.7979 (Overall: 1.3408, Change: 1.8086), TF Ratio: 0.994
[2026-06-25 09:06:42,663][root][INFO] - Epoch [1/10], Batch [29/2500], Loss: 1.7904 (Overall: 1.3489, Change: 1.8070), TF Ratio: 0.994
[2026-06-25 09:06:42,841][root][INFO] - Epoch [1/10], Batch [30/2500], Loss: 1.7827 (Overall: 1.2763, Change: 1.8463), TF Ratio: 0.994
[2026-06-25 09:06:42,994][root][INFO] - Epoch [1/10], Batch [31/2500], Loss: 1.7727 (Overall: 1.3617, Change: 1.5815), TF Ratio: 0.994
[2026-06-25 09:06:43,151][root][INFO] - Epoch [1/10], Batch [32/2500], Loss: 1.7664 (Overall: 1.4180, Change: 1.7218), TF Ratio: 0.994
[2026-06-25 09:06:43,323][root][INFO] - Epoch [1/10], Batch [33/2500], Loss: 1.7611 (Overall: 1.2972, Change: 1.8872), TF Ratio: 0.993
[2026-06-25 09:06:43,482][root][INFO] - Epoch [1/10], Batch [34/2500], Loss: 1.7601 (Overall: 1.4153, Change: 2.0391), TF Ratio: 0.993
[2026-06-25 09:06:43,636][root][INFO] - Epoch [1/10], Batch [35/2500], Loss: 1.7543 (Overall: 1.3560, Change: 1.7615), TF Ratio: 0.993
[2026-06-25 09:06:43,796][root][INFO] - Epoch [1/10], Batch [36/2500], Loss: 1.7485 (Overall: 1.3258, Change: 1.7626), TF Ratio: 0.993
[2026-06-25 09:06:43,951][root][INFO] - Epoch [1/10], Batch [37/2500], Loss: 1.7415 (Overall: 1.2425, Change: 1.7408), TF Ratio: 0.993
[2026-06-25 09:06:44,107][root][INFO] - Epoch [1/10], Batch [38/2500], Loss: 1.7350 (Overall: 1.2735, Change: 1.7116), TF Ratio: 0.992
[2026-06-25 09:06:44,267][root][INFO] - Epoch [1/10], Batch [39/2500], Loss: 1.7257 (Overall: 1.2292, Change: 1.5130), TF Ratio: 0.992
[2026-06-25 09:06:46,106][root][INFO] - Epoch [1/10], Batch [40/2500], Loss: 1.7226 (Overall: 1.5592, Change: 1.6438), TF Ratio: 0.992
[2026-06-25 09:06:46,277][root][INFO] - Epoch [1/10], Batch [41/2500], Loss: 1.7272 (Overall: 1.8235, Change: 2.0052), TF Ratio: 0.992
[2026-06-25 09:06:46,433][root][INFO] - Epoch [1/10], Batch [42/2500], Loss: 1.7193 (Overall: 1.2684, Change: 1.5227), TF Ratio: 0.992
[2026-06-25 09:06:46,589][root][INFO] - Epoch [1/10], Batch [43/2500], Loss: 1.7148 (Overall: 1.2140, Change: 1.8337), TF Ratio: 0.991
[2026-06-25 09:06:46,827][root][INFO] - Epoch [1/10], Batch [44/2500], Loss: 1.7098 (Overall: 1.3293, Change: 1.6641), TF Ratio: 0.991
[2026-06-25 09:06:47,008][root][INFO] - Epoch [1/10], Batch [45/2500], Loss: 1.7014 (Overall: 1.1320, Change: 1.5328), TF Ratio: 0.991
