file_count,file_size,total_bytes,wall_ms
1,10240,10240,0.21
10,10240,102400,1.45
100,10240,1024000,11.24
1000,10240,10240000,110.93
10000,10240,102400000,1081.52
1,102400,102400,0.13
10,102400,1024000,1.19
100,102400,10240000,12.12
1000,102400,102400000,121.27
10000,102400,1024000000,1226.33
1,1048576,1048576,2.08
10,1048576,10485760,17.80
100,1048576,104857600,145.95
1000,1048576,1048576000,1874.92
10000,1048576,10485760000,16690.39
1,10485760,10485760,4.05
10,10485760,104857600,42.95
100,10485760,1048576000,1291.87
1000,10485760,10485760000,19583.76
1,104857600,104857600,44.46
10,104857600,1048576000,697.88
100,104857600,10485760000,6052.98
