pool_size,file_size,file_index,wall_us
10000,1048576,4229,2678.64
10000,102400,1788,302.88
10000,102400,9601,154.23
10000,102400,2463,111.49
10000,102400,3975,121.26
10000,10240,779,106.20
10000,102400,8516,115.44
10000,102400,8453,240.16
10000,1048576,8825,1357.90
10000,10240,5577,111.10
10000,1048576,5032,1111.84
10000,1048576,1825,993.12
10000,102400,2508,124.90
10000,102400,2095,119.58
10000,10240,7527,105.87
10000,102400,8271,173.98
10000,102400,7051,120.85
10000,1048576,7489,1370.60
1000,1048576,483,1186.32
10000,10240,4325,108.65
10000,10240,9890,107.04
10000,1048576,8259,1491.08
1000,1048576,666,1421.43
1000,10240,648,104.16
100,104857600,23,32247.64
10000,102400,7792,411.29
10000,1048576,2101,3654.70
10000,102400,7018,164.10
10000,10240,4081,122.87
10000,1048576,9860,3922.14
10000,10240,2786,147.69
10000,102400,9594,116.96
10000,102400,1550,117.78
10000,1048576,3555,2488.39
1000,1048576,357,6529.14
10000,102400,6707,132.60
10000,10240,4493,96.35
10000,1048576,742,2244.47
1000,10485760,545,16590.50
10000,10240,6520,293.13
10000,102400,7092,248.34
1000,10485760,999,2094.32
10000,10240,2448,114.04
10000,1048576,2811,6941.89
10000,102400,6201,245.35
10000,102400,1015,118.77
10000,102400,3585,116.48
10000,10240,4024,101.52
10000,102400,1689,116.12
10000,10240,4630,101.13
10000,10240,3927,99.19
10000,10240,5649,105.46
10000,10240,611,99.71
10000,10240,7859,110.68
10000,1048576,7625,7895.54
1000,10485760,240,47039.85
1000,10240,411,403.98
1000,102400,180,139.30
10000,10240,4014,263.68
10000,10240,7578,273.33
1000,1048576,374,11513.46
10000,1048576,1396,2503.23
10000,10240,679,238.05
1000,10240,724,115.13
100,102400,39,116.26
10000,10240,7983,100.51
10000,10240,8884,232.55
10000,1048576,4966,2695.90
10000,102400,6177,129.89
10000,10240,6976,96.42
10000,1048576,5555,8845.35
10000,1048576,9054,11681.83
1000,10485760,225,11219.91
10000,10240,5004,118.89
10000,102400,4591,111.44
10000,102400,5013,241.73
10000,102400,1325,288.41
10000,1048576,5758,3209.95
10000,1048576,8124,2617.15
10000,10240,3105,158.58
10000,102400,9642,116.88
10000,10240,119,103.63
1000,102400,934,121.15
1000,10485760,59,10499.93
10000,102400,5861,133.66
10000,1048576,3469,3697.89
1000,10240,587,225.89
10000,10240,8719,123.63
10000,10240,5587,91.92
1000,1048576,723,6533.99
10000,10240,820,112.17
100,10240,95,203.61
10000,10240,3330,221.08
10000,102400,1236,114.17
10000,10240,20,226.07
10000,1048576,1385,5270.87
1000,10485760,988,21831.97
10000,102400,8728,284.98
1000,10485760,503,43639.42
10000,10240,1117,301.90
10000,1048576,6754,4964.70
1000,10485760,559,17759.26
10000,102400,3941,284.56
10000,102400,8158,156.57
10000,102400,5258,251.98
10000,10240,571,230.69
10000,10240,9873,102.39
10000,102400,2019,128.69
10000,102400,5296,127.23
10000,10240,408,103.98
10000,10240,6567,103.08
10000,1048576,5979,8857.54
10000,10240,6136,217.80
10000,102400,7616,125.41
10000,10240,6316,97.66
10000,10240,7984,104.06
10000,10240,5974,115.18
10000,10240,9515,121.26
1000,1048576,523,6794.80
10000,1048576,3689,3969.30
10000,102400,2449,236.13
10000,10240,3734,105.52
10000,102400,4162,259.21
10000,102400,6183,123.52
10000,10240,8738,98.51
10000,102400,7411,123.64
10000,10240,1567,110.55
10000,1048576,4870,2301.75
10000,102400,7654,137.43
10000,10240,3349,100.50
10000,10240,2389,96.33
10000,1048576,4821,1853.79
10000,102400,3245,131.52
10000,1048576,7284,3338.68
10000,102400,7191,144.69
10000,1048576,7155,2241.36
10000,102400,8876,145.66
10000,102400,5250,111.49
10000,10240,2202,108.11
10000,10240,8396,125.15
10000,10240,2612,111.58
10000,102400,8889,120.91
100,10240,83,116.00
10000,1048576,1256,9730.28
10000,10240,8010,129.63
10000,1048576,7578,6260.76
10000,10240,1430,108.69
10000,102400,7221,219.87
10000,1048576,8132,6770.71
10000,10240,4375,101.86
10000,102400,7848,114.32
1000,10240,656,234.18
10000,10240,8999,241.96
10000,102400,2462,117.80
100,10485760,23,21492.15
10000,1048576,3744,8612.89
10000,10240,8419,237.92
10000,1048576,9218,3697.06
1000,10240,457,222.58
1000,102400,772,111.81
10000,10240,3676,187.28
10000,10240,2325,102.19
10000,10240,291,97.00
10000,1048576,469,1824.97
10000,1048576,5732,3627.64
10000,102400,4301,116.37
10000,1048576,2181,1481.30
10000,102400,5647,126.92
10000,1048576,3122,2858.05
1000,10240,432,115.64
10000,102400,1253,121.72
10000,102400,4768,117.61
1000,1048576,946,2218.68
10000,102400,7316,135.21
10000,1048576,7239,3009.03
10000,102400,6360,126.05
10000,102400,6920,120.64
10000,10240,3907,116.39
1000,102400,688,119.79
10000,102400,6085,118.90
10000,1048576,4492,1504.04
10000,10240,3910,112.55
10000,10240,6980,107.14
10000,10240,2437,108.69
10000,102400,9565,122.70
10000,10240,4258,97.27
10000,102400,8274,121.68
10000,10240,5103,99.57
10000,10240,6758,106.30
10000,102400,2312,111.69
100,102400,98,109.23
1000,102400,325,115.44
10000,102400,8785,114.97
10000,1048576,8492,3942.29
10000,10240,2781,105.36
10000,10240,6809,100.09
10000,1048576,6426,1764.04
10000,10240,8737,100.99
10000,10240,7855,105.92
10000,102400,8788,117.07
10000,10240,8242,103.88
10000,10240,1724,94.80
10000,10240,2804,98.50
10000,10240,856,100.98
10000,10240,6673,99.44
10000,1048576,4711,2518.33
10000,102400,9206,126.03
10000,1048576,7159,8173.96
10000,102400,6549,235.51
10000,1048576,5646,14436.46
10000,1048576,9504,3634.28
10000,1048576,8765,4957.02
10000,102400,7057,164.66
10000,10240,539,97.92
10000,102400,7739,125.37
10000,10240,4033,109.51
10000,102400,8612,249.51
10000,102400,5724,115.63
10000,102400,7749,123.96
1000,10240,422,117.31
10000,10240,6698,105.69
10000,102400,9830,113.49
10000,10240,6005,101.63
10000,102400,1354,116.11
10000,10240,9545,107.17
10000,10240,6766,106.29
10000,102400,5344,117.19
10000,10240,8656,108.12
10000,10240,8233,104.53
10000,102400,9160,119.33
10000,1048576,5638,6449.31
10000,102400,1107,122.60
10000,10240,2869,97.47
10000,10240,6827,97.86
10000,1048576,9397,2567.87
10000,1048576,7566,2348.12
10000,10240,325,103.61
10000,102400,3967,120.51
10000,102400,2577,123.34
1000,10485760,355,11764.08
10000,1048576,9396,2648.53
10000,10240,9945,227.29
10000,1048576,6223,2151.26
10000,102400,26,268.78
10000,1048576,6028,1681.95
1000,102400,816,141.14
10000,1048576,3362,1765.14
100,10485760,51,6579.72
1000,1048576,817,1139.03
10000,10240,6204,232.34
10000,10240,8625,109.65
10000,102400,5950,129.54
10000,10240,1272,103.35
10000,102400,5197,124.07
10000,10240,6189,103.16
10000,102400,9469,118.56
10000,1048576,8381,879.37
1000,10485760,804,3635.81
1000,102400,623,127.19
10000,10240,6557,100.37
10000,102400,2668,114.34
10000,10240,7426,104.89
10000,102400,2026,120.38
10000,1048576,9314,869.24
10000,10240,6816,114.17
10000,102400,1305,113.16
1000,1048576,832,781.46
10000,102400,7700,142.95
10000,1048576,8388,2560.09
10000,1048576,283,4586.92
10000,102400,4903,122.56
10000,10240,8106,95.53
1000,1048576,954,2297.24
1000,1048576,415,3884.16
10000,1048576,7495,1423.88
10000,102400,1140,126.62
10000,102400,1959,136.43
10000,102400,837,109.14
10000,102400,2103,111.51
10000,10240,3230,107.27
1000,10485760,754,12206.78
10000,10240,6561,231.96
10000,1048576,7739,1812.80
10000,1048576,6860,6715.92
10000,102400,7413,139.90
1000,1048576,153,4320.16
10000,102400,5585,122.16
1000,1048576,219,2998.62
10000,1048576,3566,2553.36
10000,102400,8033,228.04
10000,10240,4820,190.16
10000,1048576,5238,735.19
10000,102400,366,119.41
10000,102400,1228,283.40
10000,102400,2542,109.78
10000,1048576,6635,2367.60
10000,10240,9590,100.68
10000,102400,6720,112.77
1000,1048576,777,1278.68
10000,1048576,7453,1389.89
10000,102400,8026,114.26
10000,1048576,9473,841.46
10000,10240,7299,104.37
10000,1048576,309,1617.64
10000,10240,5255,102.85
100,10485760,92,5219.12
10000,102400,9903,128.22
10000,102400,2028,126.41
10000,1048576,4873,2455.37
10000,10240,6653,105.29
10000,102400,5488,114.75
10000,10240,4365,91.28
10000,102400,6898,250.85
10000,102400,554,118.21
10000,1048576,6752,4293.20
10000,1048576,9388,2283.62
10000,1048576,6261,3292.62
10000,1048576,2202,2683.71
10000,10240,5709,111.58
1000,10485760,64,5172.38
10000,102400,3181,131.23
10000,1048576,624,650.22
10000,102400,2266,120.91
1000,102400,13,123.95
10000,102400,7250,121.70
10000,1048576,5400,724.67
100,1048576,83,760.58
10000,1048576,3372,932.94
10000,10240,9645,104.40
1000,1048576,55,1337.21
10000,10240,8391,103.33
10000,1048576,3385,1206.30
10000,102400,2401,123.10
10000,102400,20,110.30
1000,1048576,845,1361.90
10000,102400,9926,122.71
1000,10240,421,93.58
10000,102400,5109,114.45
10000,102400,13,109.27
10000,102400,1321,116.22
1000,1048576,145,1218.32
1000,10485760,569,3131.86
10000,10240,898,114.72
10000,102400,8150,109.77
10000,10240,3059,94.44
10000,102400,4985,118.18
10000,102400,8007,112.07
10000,10240,146,102.72
10000,102400,1522,113.52
10000,1048576,9516,711.31
10000,10240,9688,111.57
10000,10240,9994,104.98
10000,10240,7111,97.00
