store,worker,sample,wall_ms
A,0,0,383.14
A,0,1,539.17
A,0,2,462.08
A,0,3,489.13
A,0,4,408.86
A,0,5,319.55
A,0,6,438.11
A,0,7,398.11
A,0,8,489.66
A,0,9,328.89
A,0,10,363.01
A,0,11,371.96
A,0,12,351.29
A,0,13,442.13
A,0,14,465.27
A,0,15,1006.15
A,0,16,355.77
A,0,17,379.08
A,0,18,327.86
A,0,19,344.10
A,0,20,482.59
A,0,21,352.75
A,0,22,292.09
A,0,23,384.25
A,0,24,316.53
A,0,25,426.73
A,0,26,346.54
A,0,27,332.85
A,0,28,282.74
A,0,29,228.48
A,0,30,388.30
A,0,31,289.01
A,0,32,335.23
A,0,33,328.80
A,0,34,174.87
A,0,35,1123.53
A,0,36,370.97
A,0,37,315.89
A,0,38,3692.70
A,0,39,362.77
A,0,40,329.83
A,0,41,277.87
A,0,42,344.37
A,0,43,302.45
A,0,44,214.45
A,0,45,349.16
A,0,46,363.72
A,0,47,300.24
A,0,48,327.25
A,0,49,260.19
A,0,50,206.20
A,0,51,339.89
A,0,52,344.61
A,0,53,258.02
A,0,54,265.79
A,0,55,406.00
A,0,56,399.57
A,0,57,261.41
A,0,58,198.57
A,0,59,275.06
A,0,60,220.40
A,0,61,288.24
A,0,62,378.89
A,0,63,328.02
A,0,64,319.96
A,0,65,334.92
A,0,66,344.08
A,0,67,350.39
A,0,68,287.92
A,0,69,257.65
A,0,70,249.17
A,0,71,220.18
A,0,72,231.17
A,0,73,331.59
A,0,74,186.64
A,0,75,174.82
A,0,76,193.58
A,0,77,168.40
A,0,78,236.65
A,0,79,266.89
A,0,80,245.81
A,0,81,302.16
A,0,82,300.34
A,0,83,229.36
A,0,84,198.92
A,0,85,293.86
A,0,86,225.80
A,0,87,355.98
A,0,88,237.56
A,0,89,227.40
A,0,90,280.72
A,0,91,223.14
A,0,92,227.98
A,0,93,307.65
A,0,94,259.05
A,0,95,392.78
A,0,96,291.98
A,0,97,1674.23
A,0,98,205.63
A,0,99,279.52
A,1,0,377.47
A,1,1,412.79
A,1,2,385.15
A,1,3,407.57
A,1,4,482.20
A,1,5,332.73
A,1,6,541.49
A,1,7,270.60
A,1,8,446.15
A,1,9,457.81
A,1,10,332.78
A,1,11,360.73
A,1,12,336.03
A,1,13,435.00
A,1,14,458.26
A,1,15,1421.72
A,1,16,347.56
A,1,17,431.77
A,1,18,351.29
A,1,19,407.48
A,1,20,384.96
A,1,21,459.96
A,1,22,390.40
A,1,23,333.33
A,1,24,343.87
A,1,25,326.30
A,1,26,342.64
A,1,27,307.41
A,1,28,404.06
A,1,29,268.43
A,1,30,309.14
A,1,31,198.29
A,1,32,387.14
A,1,33,418.86
A,1,34,214.20
A,1,35,210.63
A,1,36,344.10
A,1,37,342.10
A,1,38,415.22
A,1,39,412.69
A,1,40,314.24
A,1,41,288.76
A,1,42,341.43
A,1,43,272.33
A,1,44,289.89
A,1,45,423.10
A,1,46,326.93
A,1,47,361.40
A,1,48,187.17
A,1,49,330.11
A,1,50,365.90
A,1,51,305.93
A,1,52,323.16
A,1,53,264.69
A,1,54,387.67
A,1,55,390.39
A,1,56,253.92
A,1,57,406.21
A,1,58,289.33
A,1,59,292.02
A,1,60,307.39
A,1,61,355.16
A,1,62,325.05
A,1,63,173.35
A,1,64,288.96
A,1,65,355.21
A,1,66,259.11
A,1,67,261.98
A,1,68,358.06
A,1,69,268.18
A,1,70,259.99
A,1,71,235.03
A,1,72,293.94
A,1,73,296.98
A,1,74,425.04
A,1,75,271.24
A,1,76,1712.30
A,1,77,298.92
A,1,78,303.98
A,1,79,294.10
A,1,80,252.04
A,1,81,242.00
A,1,82,219.49
A,1,83,235.54
A,1,84,267.81
A,1,85,274.65
A,1,86,277.99
A,1,87,397.17
A,1,88,269.55
A,1,89,253.18
A,1,90,237.70
A,1,91,326.19
A,1,92,353.78
A,1,93,334.32
A,1,94,271.23
A,1,95,283.03
A,1,96,234.25
A,1,97,212.32
A,1,98,258.45
A,1,99,381.14
A,2,0,357.31
A,2,1,458.99
A,2,2,447.67
A,2,3,365.95
A,2,4,419.63
A,2,5,421.33
A,2,6,445.64
A,2,7,433.47
A,2,8,350.51
A,2,9,378.78
A,2,10,358.10
A,2,11,357.85
A,2,12,345.03
A,2,13,402.21
A,2,14,326.46
A,2,15,443.70
A,2,16,362.73
A,2,17,266.29
A,2,18,281.10
A,2,19,500.65
A,2,20,426.08
A,2,21,439.42
A,2,22,278.00
A,2,23,370.38
A,2,24,374.36
A,2,25,304.37
A,2,26,330.53
A,2,27,417.71
A,2,28,413.58
A,2,29,373.89
A,2,30,282.13
A,2,31,403.80
A,2,32,378.54
A,2,33,334.41
A,2,34,1685.86
A,2,35,291.50
A,2,36,285.05
A,2,37,317.58
A,2,38,402.88
A,2,39,297.28
A,2,40,367.86
A,2,41,368.80
A,2,42,795.03
A,2,43,312.07
A,2,44,1022.77
A,2,45,295.71
A,2,46,310.60
A,2,47,354.97
A,2,48,207.86
A,2,49,148.79
A,2,50,313.59
A,2,51,284.18
A,2,52,287.39
A,2,53,301.72
A,2,54,326.42
A,2,55,370.62
A,2,56,213.15
A,2,57,271.91
A,2,58,301.36
A,2,59,257.17
A,2,60,186.01
A,2,61,407.35
A,2,62,266.79
A,2,63,338.68
A,2,64,376.21
A,2,65,159.49
A,2,66,256.01
A,2,67,159.93
A,2,68,334.15
A,2,69,219.39
A,2,70,260.74
