store,pass,worker,sample,wall_ms
A,1,0,0,865.78
A,1,0,1,867.17
A,1,0,2,839.87
A,1,0,3,814.93
A,1,0,4,759.54
A,1,0,5,796.05
A,1,0,6,831.76
A,1,0,7,822.24
A,1,0,8,723.84
A,1,0,9,741.51
A,1,0,10,753.51
A,1,0,11,682.18
A,1,0,12,763.03
A,1,0,13,771.59
A,1,0,14,849.83
A,1,0,15,727.91
A,1,0,16,797.73
A,1,0,17,771.05
A,1,0,18,678.87
A,1,0,19,813.29
A,1,0,20,717.24
A,1,0,21,712.51
A,1,0,22,648.31
A,1,0,23,768.01
A,1,0,24,662.56
A,1,0,25,812.10
A,1,0,26,843.37
A,1,0,27,709.96
A,1,0,28,720.24
A,1,0,29,631.53
A,1,0,30,640.48
A,1,0,31,660.78
A,1,0,32,642.74
A,1,0,33,649.94
A,1,0,34,522.69
A,1,0,35,695.46
A,1,0,36,624.67
A,1,0,37,617.62
A,1,0,38,563.22
A,1,0,39,674.74
A,1,0,40,762.97
A,1,0,41,600.35
A,1,0,42,558.54
A,1,0,43,606.61
A,1,0,44,627.19
A,1,0,45,674.52
A,1,0,46,774.30
A,1,0,47,545.34
A,1,0,48,577.34
A,1,0,49,640.50
A,1,0,50,557.79
A,1,0,51,611.63
A,1,0,52,757.04
A,1,0,53,575.94
A,1,0,54,534.77
A,1,0,55,725.15
A,1,0,56,648.51
A,1,0,57,597.59
A,1,0,58,573.36
A,1,0,59,635.83
A,1,0,60,646.23
A,1,0,61,687.05
A,1,0,62,765.06
A,1,0,63,737.31
A,1,0,64,707.94
A,1,0,65,682.15
A,1,0,66,481.19
A,1,0,67,553.63
A,1,0,68,638.73
A,1,0,69,511.18
A,1,0,70,627.04
A,1,0,71,577.16
A,1,0,72,666.68
A,1,0,73,748.11
A,1,0,74,629.61
A,1,0,75,511.45
A,1,0,76,567.78
A,1,0,77,554.22
A,1,0,78,598.40
A,1,0,79,572.68
A,1,0,80,550.29
A,1,0,81,604.88
A,1,0,82,681.39
A,1,0,83,599.13
A,1,0,84,415.91
A,1,0,85,559.15
A,1,0,86,498.61
A,1,0,87,657.54
A,1,0,88,491.46
A,1,0,89,528.79
A,1,0,90,659.24
A,1,0,91,641.01
A,1,0,92,493.07
A,1,0,93,650.83
A,1,0,94,583.35
A,1,0,95,612.63
A,1,0,96,550.41
A,1,0,97,542.21
A,1,0,98,510.69
A,1,0,99,660.27
A,1,1,0,893.08
A,1,1,1,822.77
A,1,1,2,780.66
A,1,1,3,822.21
A,1,1,4,848.86
A,1,1,5,809.59
A,1,1,6,835.78
A,1,1,7,746.35
A,1,1,8,854.59
A,1,1,9,772.18
A,1,1,10,835.33
A,1,1,11,722.99
A,1,1,12,807.72
A,1,1,13,753.57
A,1,1,14,832.41
A,1,1,15,778.70
A,1,1,16,712.97
A,1,1,17,789.53
A,1,1,18,654.62
A,1,1,19,763.73
A,1,1,20,816.97
A,1,1,21,863.82
A,1,1,22,686.96
A,1,1,23,679.79
A,1,1,24,677.80
A,1,1,25,645.92
A,1,1,26,760.06
A,1,1,27,629.94
A,1,1,28,639.68
A,1,1,29,602.91
A,1,1,30,698.18
A,1,1,31,494.49
A,1,1,32,685.67
A,1,1,33,737.74
A,1,1,34,600.11
A,1,1,35,577.64
A,1,1,36,630.92
A,1,1,37,640.49
A,1,1,38,655.45
A,1,1,39,655.56
A,1,1,40,623.95
A,1,1,41,688.41
A,1,1,42,556.48
A,1,1,43,640.45
A,1,1,44,655.18
A,1,1,45,636.27
A,1,1,46,563.05
A,1,1,47,800.98
A,1,1,48,750.55
A,1,1,49,529.82
A,1,1,50,527.05
A,1,1,51,710.49
A,1,1,52,621.23
A,1,1,53,587.03
A,1,1,54,652.76
A,1,1,55,658.39
A,1,1,56,522.51
A,1,1,57,692.31
A,1,1,58,612.96
A,1,1,59,672.57
A,1,1,60,526.90
A,1,1,61,687.15
A,1,1,62,594.28
A,1,1,63,577.99
A,1,1,64,732.71
A,1,1,65,626.17
A,1,1,66,638.37
A,1,1,67,602.77
A,1,1,68,709.49
A,1,1,69,725.17
A,1,1,70,608.77
A,1,1,71,746.34
A,1,1,72,557.44
A,1,1,73,621.10
A,1,1,74,584.39
A,1,1,75,620.17
A,1,1,76,567.13
A,1,1,77,574.07
A,1,1,78,616.63
A,1,1,79,673.72
A,1,1,80,594.94
A,1,1,81,593.04
A,1,1,82,644.87
A,1,1,83,634.55
A,1,1,84,522.54
A,1,1,85,578.45
A,1,1,86,684.03
A,1,1,87,585.50
A,1,1,88,592.00
A,1,1,89,570.39
A,1,1,90,577.06
A,1,1,91,618.62
A,1,1,92,700.30
A,1,1,93,539.98
A,1,1,94,498.50
A,1,1,95,510.50
A,1,1,96,444.43
A,1,1,97,495.56
A,1,1,98,555.95
A,1,1,99,517.35
A,1,2,0,947.15
A,1,2,1,826.30
A,1,2,2,813.08
A,1,2,3,878.17
A,1,2,4,863.59
A,1,2,5,780.25
A,1,2,6,708.41
A,1,2,7,783.18
A,1,2,8,739.15
A,1,2,9,710.12
A,1,2,10,800.05
A,1,2,11,851.11
A,1,2,12,633.78
A,1,2,13,721.69
A,1,2,14,771.90
A,1,2,15,661.74
A,1,2,16,680.02
A,1,2,17,755.61
A,1,2,18,753.97
A,1,2,19,825.45
A,1,2,20,592.50
A,1,2,21,695.46
A,1,2,22,533.20
A,1,2,23,612.92
A,1,2,24,675.64
A,1,2,25,721.13
A,1,2,26,696.23
A,1,2,27,619.68
A,1,2,28,612.05
A,1,2,29,771.80
A,1,2,30,615.14
A,1,2,31,686.68
A,1,2,32,768.03
A,1,2,33,871.63
A,1,2,34,611.88
A,1,2,35,741.77
A,1,2,36,593.90
A,1,2,37,620.15
A,1,2,38,731.13
A,1,2,39,697.78
A,1,2,40,713.20
A,1,2,41,726.79
A,1,2,42,646.70
A,1,2,43,708.78
A,1,2,44,644.19
A,1,2,45,664.17
A,1,2,46,677.07
A,1,2,47,737.97
A,1,2,48,512.62
A,1,2,49,472.08
A,1,2,50,563.65
A,1,2,51,493.74
A,1,2,52,611.46
A,1,2,53,707.35
A,1,2,54,621.59
A,1,2,55,666.25
A,1,2,56,617.20
A,1,2,57,472.94
A,1,2,58,551.66
A,1,2,59,645.43
A,1,2,60,569.39
A,1,2,61,644.77
A,1,2,62,550.96
A,1,2,63,653.79
A,1,2,64,772.67
A,1,2,65,542.46
A,1,2,66,721.00
A,1,2,67,536.76
A,1,2,68,593.22
A,1,2,69,545.82
A,1,2,70,611.21
A,1,2,71,598.57
A,1,2,72,586.54
A,1,2,73,715.20
A,1,2,74,717.52
A,1,2,75,537.40
A,1,2,76,572.41
A,1,2,77,723.00
A,1,2,78,691.32
A,1,2,79,769.09
A,1,2,80,516.41
A,1,2,81,581.21
A,1,2,82,629.02
A,1,2,83,661.17
A,1,2,84,558.18
A,1,2,85,545.04
A,1,2,86,576.73
A,1,2,87,522.40
A,1,2,88,683.93
A,1,2,89,534.47
A,1,2,90,601.69
A,1,2,91,649.63
A,1,2,92,544.57
A,1,2,93,464.70
A,1,2,94,646.82
A,1,2,95,567.48
A,1,2,96,616.21
A,1,2,97,606.49
A,1,2,98,616.25
A,1,2,99,548.03
A,1,3,0,842.95
A,1,3,1,807.92
A,1,3,2,881.65
A,1,3,3,895.03
A,1,3,4,787.61
A,1,3,5,805.77
A,1,3,6,814.86
A,1,3,7,924.93
A,1,3,8,885.44
A,1,3,9,772.99
A,1,3,10,729.51
A,1,3,11,731.98
A,1,3,12,769.97
A,1,3,13,675.97
A,1,3,14,675.52
A,1,3,15,739.01
A,1,3,16,853.20
A,1,3,17,803.55
A,1,3,18,775.07
A,1,3,19,740.24
A,1,3,20,613.11
A,1,3,21,617.50
A,1,3,22,641.10
A,1,3,23,613.47
A,1,3,24,736.26
A,1,3,25,612.57
A,1,3,26,708.53
A,1,3,27,653.63
A,1,3,28,685.88
A,1,3,29,1971.97
A,1,3,30,537.60
A,1,3,31,771.94
A,1,3,32,694.80
A,1,3,33,838.75
A,1,3,34,800.79
A,1,3,35,821.05
A,1,3,36,672.52
A,1,3,37,681.93
A,1,3,38,656.38
A,1,3,39,576.11
A,1,3,40,773.25
A,1,3,41,641.39
A,1,3,42,707.20
A,1,3,43,529.50
A,1,3,44,687.36
A,1,3,45,541.92
