store,pass,worker,sample,wall_ms
A,1,0,0,77.06
A,1,0,1,53.35
A,1,0,2,55.48
A,1,0,3,38.84
A,1,0,4,59.54
A,1,0,5,46.99
A,1,0,6,56.13
A,1,0,7,78.49
A,1,0,8,72.92
A,1,0,9,47.93
A,1,0,10,73.43
A,1,0,11,44.82
A,1,0,12,46.90
A,1,0,13,54.94
A,1,0,14,56.74
A,1,0,15,70.70
A,1,0,16,35.59
A,1,0,17,64.66
A,1,0,18,66.78
A,1,0,19,50.25
A,1,0,20,41.93
A,1,0,21,27.23
A,1,0,22,34.86
A,1,0,23,23.15
A,1,0,24,25.52
A,1,0,25,17.94
A,1,0,26,41.40
A,1,0,27,61.30
A,1,0,28,56.66
A,1,0,29,27.02
A,1,0,30,45.51
A,1,0,31,24.76
A,1,0,32,75.15
A,1,0,33,7.37
A,1,0,34,37.02
A,1,0,35,35.98
A,1,0,36,29.39
A,1,0,37,22.84
A,1,0,38,14.60
A,1,0,39,30.00
A,1,0,40,26.97
A,1,0,41,32.39
A,1,0,42,22.53
A,1,0,43,19.10
A,1,0,44,28.99
A,1,0,45,35.86
A,1,0,46,19.86
A,1,0,47,48.18
A,1,0,48,35.93
A,1,0,49,41.73
A,1,0,50,21.33
A,1,0,51,24.22
A,1,0,52,10.91
A,1,0,53,61.00
A,1,0,54,24.00
A,1,0,55,48.83
A,1,0,56,11.97
A,1,0,57,19.20
A,1,0,58,25.40
A,1,0,59,24.42
A,1,0,60,27.28
A,1,0,61,43.24
A,1,0,62,51.41
A,1,0,63,34.82
A,1,0,64,17.79
A,1,0,65,28.73
A,1,0,66,37.26
A,1,0,67,43.52
A,1,0,68,13.80
A,1,0,69,863.86
A,1,0,70,21.34
A,1,0,71,24.31
A,1,0,72,11.53
A,1,0,73,31.80
A,1,0,74,2.85
A,1,0,75,7.15
A,1,0,76,29.02
A,1,0,77,20.98
A,1,0,78,11.87
A,1,0,79,33.39
A,1,0,80,15.19
A,1,0,81,6.82
A,1,0,82,9.34
A,1,0,83,16.93
A,1,0,84,1.97
A,1,0,85,31.77
A,1,0,86,6.18
A,1,0,87,6.45
A,1,0,88,16.82
A,1,0,89,42.98
A,1,0,90,27.83
A,1,0,91,2.06
A,1,0,92,2.11
A,1,0,93,11.02
A,1,0,94,24.80
A,1,0,95,79.14
A,1,0,96,23.32
A,1,0,97,5.81
A,1,0,98,11.98
A,1,0,99,7.81
A,1,1,0,45.09
A,1,1,1,55.03
A,1,1,2,57.68
A,1,1,3,50.84
A,1,1,4,56.89
A,1,1,5,40.17
A,1,1,6,27.51
A,1,1,7,83.56
A,1,1,8,49.43
A,1,1,9,49.12
A,1,1,10,47.35
A,1,1,11,79.98
A,1,1,12,35.85
A,1,1,13,49.29
A,1,1,14,51.87
A,1,1,15,17.57
A,1,1,16,35.99
A,1,1,17,60.65
A,1,1,18,54.30
A,1,1,19,84.10
A,1,1,20,39.28
A,1,1,21,44.73
A,1,1,22,49.50
A,1,1,23,15.24
A,1,1,24,32.64
A,1,1,25,61.16
A,1,1,26,23.72
A,1,1,27,52.13
A,1,1,28,20.08
A,1,1,29,29.06
A,1,1,30,37.56
A,1,1,31,34.22
A,1,1,32,21.44
A,1,1,33,38.53
A,1,1,34,16.37
A,1,1,35,39.02
A,1,1,36,30.07
A,1,1,37,31.22
A,1,1,38,37.95
A,1,1,39,18.41
A,1,1,40,15.93
A,1,1,41,43.31
A,1,1,42,6.46
A,1,1,43,48.38
A,1,1,44,12.08
A,1,1,45,59.28
A,1,1,46,11.73
A,1,1,47,45.63
A,1,1,48,19.39
A,1,1,49,23.20
A,1,1,50,29.66
A,1,1,51,24.12
A,1,1,52,24.10
A,1,1,53,19.81
A,1,1,54,33.74
A,1,1,55,34.40
A,1,1,56,23.56
A,1,1,57,45.08
A,1,1,58,16.06
A,1,1,59,39.64
A,1,1,60,15.37
A,1,1,61,28.61
A,1,1,62,35.00
A,1,1,63,15.80
A,1,1,64,14.95
A,1,1,65,16.42
A,1,1,66,7.87
A,1,1,67,27.03
A,1,1,68,29.50
A,1,1,69,12.19
A,1,1,70,24.93
A,1,1,71,15.13
A,1,1,72,20.20
A,1,1,73,25.67
A,1,1,74,44.52
A,1,1,75,22.22
A,1,1,76,20.78
A,1,1,77,21.59
