store,pass,worker,sample,wall_ms
A,1,0,0,786.51
A,1,0,1,865.88
A,1,0,2,847.32
A,1,0,3,687.57
A,1,0,4,819.98
A,1,0,5,837.75
A,1,0,6,842.55
A,1,0,7,710.98
A,1,0,8,724.02
A,1,0,9,725.20
A,1,0,10,721.25
A,1,0,11,636.44
A,1,0,12,809.25
A,1,0,13,788.86
A,1,0,14,804.46
A,1,0,15,705.62
A,1,0,16,707.64
A,1,0,17,709.85
A,1,0,18,692.25
A,1,0,19,718.52
A,1,0,20,783.58
A,1,0,21,740.62
A,1,0,22,662.77
A,1,0,23,803.81
A,1,0,24,569.82
A,1,0,25,833.16
A,1,0,26,775.04
A,1,0,27,731.30
A,1,0,28,659.83
A,1,0,29,645.61
A,1,0,30,572.41
A,1,0,31,712.56
A,1,0,32,680.73
A,1,0,33,1927.17
A,1,0,34,502.98
A,1,0,35,706.49
A,1,0,36,640.67
A,1,0,37,667.20
A,1,0,38,559.58
A,1,0,39,730.65
A,1,0,40,674.18
A,1,0,41,605.34
A,1,0,42,613.63
A,1,0,43,592.25
A,1,0,44,565.11
A,1,0,45,729.10
A,1,0,46,613.54
A,1,0,47,596.83
A,1,0,48,651.72
A,1,0,49,620.87
A,1,0,50,621.94
A,1,0,51,588.27
A,1,0,52,724.01
A,1,0,53,542.49
A,1,0,54,597.14
A,1,0,55,683.83
A,1,0,56,617.08
A,1,0,57,582.49
A,1,0,58,2197.07
A,1,0,59,648.08
A,1,0,60,600.23
A,1,0,61,694.60
A,1,0,62,719.81
A,1,0,63,664.01
A,1,0,64,700.91
A,1,0,65,702.50
A,1,0,66,568.65
A,1,0,67,634.56
A,1,0,68,635.74
A,1,0,69,535.23
A,1,0,70,605.58
A,1,0,71,542.03
A,1,0,72,591.30
A,1,0,73,602.46
A,1,0,74,606.54
A,1,0,75,468.01
A,1,0,76,663.08
A,1,0,77,514.82
A,1,0,78,578.00
A,1,0,79,536.78
A,1,0,80,562.08
A,1,0,81,553.75
A,1,0,82,654.25
A,1,0,83,611.52
A,1,0,84,461.47
A,1,0,85,588.38
A,1,0,86,596.31
A,1,0,87,686.55
A,1,0,88,604.50
A,1,0,89,465.57
A,1,0,90,597.71
A,1,0,91,669.06
A,1,0,92,506.43
A,1,0,93,690.35
A,1,0,94,576.20
A,1,0,95,561.08
A,1,0,96,648.46
A,1,0,97,517.79
A,1,0,98,577.46
A,1,0,99,626.59
A,1,1,0,833.18
A,1,1,1,879.60
A,1,1,2,810.47
A,1,1,3,741.93
A,1,1,4,770.78
A,1,1,5,824.01
A,1,1,6,734.94
A,1,1,7,757.18
A,1,1,8,739.06
A,1,1,9,802.20
A,1,1,10,704.76
A,1,1,11,646.19
A,1,1,12,866.33
A,1,1,13,650.80
A,1,1,14,794.92
A,1,1,15,722.92
A,1,1,16,713.37
A,1,1,17,714.80
A,1,1,18,682.56
A,1,1,19,803.77
A,1,1,20,641.22
A,1,1,21,691.04
A,1,1,22,641.82
A,1,1,23,736.49
A,1,1,24,819.12
A,1,1,25,695.46
A,1,1,26,730.39
A,1,1,27,658.92
A,1,1,28,695.93
A,1,1,29,591.66
A,1,1,30,604.89
A,1,1,31,520.56
A,1,1,32,780.06
A,1,1,33,726.99
A,1,1,34,535.68
A,1,1,35,646.03
A,1,1,36,623.65
A,1,1,37,692.87
A,1,1,38,628.29
A,1,1,39,773.69
A,1,1,40,631.09
A,1,1,41,661.70
A,1,1,42,591.30
A,1,1,43,672.10
A,1,1,44,642.39
A,1,1,45,643.77
A,1,1,46,700.91
A,1,1,47,804.90
A,1,1,48,708.18
A,1,1,49,640.40
A,1,1,50,567.34
A,1,1,51,740.52
A,1,1,52,657.25
A,1,1,53,645.99
A,1,1,54,651.30
A,1,1,55,658.48
A,1,1,56,530.58
A,1,1,57,715.11
A,1,1,58,677.11
A,1,1,59,649.89
A,1,1,60,600.80
A,1,1,61,1031.68
A,1,1,62,623.99
A,1,1,63,613.19
A,1,1,64,669.77
A,1,1,65,740.35
A,1,1,66,667.71
A,1,1,67,582.01
A,1,1,68,609.24
A,1,1,69,633.99
A,1,1,70,667.49
A,1,1,71,648.61
A,1,1,72,611.40
A,1,1,73,684.95
A,1,1,74,544.82
A,1,1,75,549.33
A,1,1,76,583.76
A,1,1,77,577.70
A,1,1,78,651.50
A,1,1,79,665.78
A,1,1,80,505.62
A,1,1,81,603.80
A,1,1,82,654.12
A,1,1,83,595.66
A,1,1,84,563.18
A,1,1,85,525.30
A,1,1,86,624.41
A,1,1,87,594.74
A,1,1,88,532.30
A,1,1,89,616.81
A,1,1,90,579.25
A,1,1,91,555.44
A,1,1,92,545.94
A,1,1,93,629.52
A,1,1,94,553.68
A,1,1,95,593.42
A,1,1,96,480.56
A,1,1,97,443.21
A,1,1,98,641.40
A,1,1,99,564.85
A,1,2,0,858.47
A,1,2,1,832.72
A,1,2,2,829.32
A,1,2,3,759.52
A,1,2,4,772.78
A,1,2,5,838.85
A,1,2,6,764.39
A,1,2,7,747.58
A,1,2,8,761.34
A,1,2,9,812.02
A,1,2,10,735.28
A,1,2,11,683.07
A,1,2,12,847.59
A,1,2,13,777.26
A,1,2,14,606.39
A,1,2,15,676.67
A,1,2,16,750.84
A,1,2,17,661.34
A,1,2,18,663.33
A,1,2,19,700.33
A,1,2,20,590.30
A,1,2,21,692.40
A,1,2,22,613.59
A,1,2,23,656.71
A,1,2,24,668.09
A,1,2,25,711.30
A,1,2,26,697.03
A,1,2,27,636.71
A,1,2,28,627.81
A,1,2,29,701.73
A,1,2,30,660.38
A,1,2,31,686.30
A,1,2,32,782.21
A,1,2,33,2822.69
A,1,2,34,582.67
A,1,2,35,743.72
A,1,2,36,643.05
A,1,2,37,647.36
A,1,2,38,798.95
A,1,2,39,639.40
A,1,2,40,700.87
A,1,2,41,710.80
A,1,2,42,620.55
A,1,2,43,668.00
A,1,2,44,560.40
A,1,2,45,691.44
A,1,2,46,585.00
A,1,2,47,661.40
A,1,2,48,490.70
A,1,2,49,573.88
A,1,2,50,698.57
A,1,2,51,541.04
A,1,2,52,568.60
A,1,2,53,736.92
A,1,2,54,493.27
A,1,2,55,571.26
A,1,2,56,620.12
A,1,2,57,614.53
A,1,2,58,557.84
A,1,2,59,605.24
A,1,2,60,622.84
A,1,2,61,666.76
A,1,2,62,600.45
A,1,2,63,656.58
A,1,2,64,736.79
A,1,2,65,577.57
A,1,2,66,815.51
A,1,2,67,623.20
A,1,2,68,569.73
A,1,2,69,610.72
A,1,2,70,634.70
A,1,2,71,483.36
A,1,2,72,597.36
A,1,2,73,629.98
A,1,2,74,643.82
A,1,2,75,614.94
A,1,2,76,576.53
A,1,2,77,679.73
A,1,2,78,715.13
A,1,2,79,626.22
A,1,2,80,542.57
A,1,2,81,502.49
A,1,2,82,631.22
A,1,2,83,531.85
A,1,2,84,545.44
A,1,2,85,513.18
A,1,2,86,588.95
A,1,2,87,481.82
A,1,2,88,640.20
A,1,2,89,575.30
A,1,2,90,619.16
A,1,2,91,592.21
A,1,2,92,554.43
A,1,2,93,553.60
A,1,2,94,582.51
A,1,2,95,583.85
A,1,2,96,567.84
A,1,2,97,622.72
A,1,2,98,591.07
A,1,2,99,533.32
A,1,3,0,869.54
A,1,3,1,756.28
A,1,3,2,846.12
A,1,3,3,787.42
A,1,3,4,851.20
A,1,3,5,752.15
A,1,3,6,808.96
A,1,3,7,821.68
A,1,3,8,793.76
A,1,3,9,737.14
A,1,3,10,729.62
A,1,3,11,714.19
A,1,3,12,839.86
A,1,3,13,623.75
A,1,3,14,768.66
A,1,3,15,777.68
A,1,3,16,839.87
A,1,3,17,773.53
A,1,3,18,794.32
A,1,3,19,745.33
A,1,3,20,596.65
A,1,3,21,646.48
A,1,3,22,557.58
A,1,3,23,780.69
A,1,3,24,769.92
A,1,3,25,635.54
A,1,3,26,674.20
A,1,3,27,673.23
A,1,3,28,588.16
A,1,3,29,659.16
A,1,3,30,491.48
A,1,3,31,798.06
A,1,3,32,2754.82
A,1,3,33,821.70
A,1,3,34,772.41
A,1,3,35,760.64
A,1,3,36,719.78
A,1,3,37,659.11
A,1,3,38,692.62
A,1,3,39,609.87
A,1,3,40,629.11
A,1,3,41,584.46
A,1,3,42,681.22
A,1,3,43,612.33
A,1,3,44,786.73
A,1,3,45,543.77
A,1,3,46,613.47
A,1,3,47,650.16
A,1,3,48,673.93
A,1,3,49,687.32
A,1,3,50,584.97
A,1,3,51,639.87
A,1,3,52,659.18
A,1,3,53,547.69
A,1,3,54,679.37
A,1,3,55,624.40
A,1,3,56,615.65
A,1,3,57,839.39
A,1,3,58,662.26
A,1,3,59,695.94
A,1,3,60,655.45
A,1,3,61,561.69
A,1,3,62,553.00
A,1,3,63,656.58
A,1,3,64,739.47
A,1,3,65,571.52
A,1,3,66,534.52
A,1,3,67,575.10
A,1,3,68,624.97
A,1,3,69,614.25
A,1,3,70,416.23
A,1,3,71,531.50
A,1,3,72,643.50
A,1,3,73,613.72
A,1,3,74,493.00
A,1,3,75,603.99
A,1,3,76,495.49
A,1,3,77,543.75
A,1,3,78,598.21
A,1,3,79,738.59
A,1,3,80,616.79
A,1,3,81,595.39
A,1,3,82,499.52
A,1,3,83,454.96
A,1,3,84,570.89
A,1,3,85,538.48
A,1,3,86,463.28
A,1,3,87,692.76
A,1,3,88,356.65
A,1,3,89,439.17
A,1,3,90,508.69
A,1,3,91,706.51
A,1,3,92,510.18
A,1,3,93,609.71
A,1,3,94,582.60
A,1,3,95,681.40
A,1,3,96,596.56
A,1,3,97,534.81
A,1,3,98,642.55
A,1,3,99,574.05
A,1,4,0,820.71
A,1,4,1,883.29
A,1,4,2,783.94
A,1,4,3,781.34
A,1,4,4,772.09
A,1,4,5,773.46
A,1,4,6,752.36
A,1,4,7,825.40
A,1,4,8,719.12
A,1,4,9,687.31
A,1,4,10,783.22
A,1,4,11,740.72
A,1,4,12,831.28
A,1,4,13,724.34
A,1,4,14,735.08
A,1,4,15,699.31
A,1,4,16,665.44
A,1,4,17,590.49
A,1,4,18,920.96
A,1,4,19,765.69
A,1,4,20,669.86
A,1,4,21,586.73
A,1,4,22,714.88
A,1,4,23,681.76
A,1,4,24,736.16
A,1,4,25,698.03
A,1,4,26,692.90
A,1,4,27,628.42
A,1,4,28,608.05
A,1,4,29,684.86
A,1,4,30,624.09
A,1,4,31,657.92
A,1,4,32,655.17
A,1,4,33,694.09
A,1,4,34,627.49
A,1,4,35,591.53
A,1,4,36,624.63
A,1,4,37,614.87
A,1,4,38,545.83
A,1,4,39,551.36
A,1,4,40,689.55
A,1,4,41,733.65
A,1,4,42,604.86
A,1,4,43,637.27
A,1,4,44,743.21
A,1,4,45,626.80
A,1,4,46,614.14
A,1,4,47,667.96
A,1,4,48,695.92
A,1,4,49,716.22
A,1,4,50,671.32
A,1,4,51,576.55
A,1,4,52,666.85
A,1,4,53,566.80
A,1,4,54,570.95
A,1,4,55,712.72
A,1,4,56,609.79
A,1,4,57,630.42
A,1,4,58,715.83
A,1,4,59,658.90
A,1,4,60,2204.60
A,1,4,61,626.80
A,1,4,62,568.70
A,1,4,63,655.49
A,1,4,64,653.79
A,1,4,65,519.24
A,1,4,66,571.78
A,1,4,67,525.45
A,1,4,68,663.87
A,1,4,69,587.48
A,1,4,70,642.36
A,1,4,71,629.59
A,1,4,72,605.99
A,1,4,73,551.13
A,1,4,74,644.71
A,1,4,75,507.65
A,1,4,76,630.08
A,1,4,77,640.57
A,1,4,78,635.56
A,1,4,79,581.35
A,1,4,80,562.96
A,1,4,81,716.00
A,1,4,82,495.32
A,1,4,83,720.53
A,1,4,84,723.27
A,1,4,85,443.19
A,1,4,86,529.35
A,1,4,87,558.96
A,1,4,88,539.27
A,1,4,89,539.88
A,1,4,90,633.60
A,1,4,91,645.67
A,1,4,92,619.13
A,1,4,93,504.49
A,1,4,94,600.88
A,1,4,95,635.81
A,1,4,96,537.85
A,1,4,97,498.15
A,1,4,98,710.66
A,1,4,99,573.97
A,1,5,0,888.69
A,1,5,1,840.21
A,1,5,2,733.40
A,1,5,3,828.11
A,1,5,4,843.97
A,1,5,5,803.77
A,1,5,6,854.46
A,1,5,7,784.49
A,1,5,8,753.80
A,1,5,9,749.63
A,1,5,10,744.91
A,1,5,11,758.96
A,1,5,12,838.44
A,1,5,13,655.28
A,1,5,14,755.02
A,1,5,15,643.15
A,1,5,16,669.38
A,1,5,17,755.37
A,1,5,18,616.45
A,1,5,19,717.09
A,1,5,20,691.27
A,1,5,21,673.95
A,1,5,22,633.30
A,1,5,23,629.44
A,1,5,24,672.70
A,1,5,25,689.92
A,1,5,26,571.35
A,1,5,27,699.60
A,1,5,28,674.23
A,1,5,29,622.80
A,1,5,30,716.85
A,1,5,31,759.17
A,1,5,32,600.54
A,1,5,33,620.71
A,1,5,34,657.51
A,1,5,35,620.33
A,1,5,36,686.67
A,1,5,37,721.50
A,1,5,38,863.22
A,1,5,39,668.51
A,1,5,40,688.02
A,1,5,41,731.24
A,1,5,42,585.86
A,1,5,43,725.08
A,1,5,44,674.43
A,1,5,45,658.56
A,1,5,46,695.78
A,1,5,47,519.51
A,1,5,48,725.65
A,1,5,49,706.92
A,1,5,50,647.80
A,1,5,51,473.61
A,1,5,52,687.63
A,1,5,53,692.03
A,1,5,54,619.06
A,1,5,55,620.84
A,1,5,56,571.93
A,1,5,57,576.61
A,1,5,58,690.57
A,1,5,59,555.13
A,1,5,60,778.86
A,1,5,61,1438.08
A,1,5,62,576.88
A,1,5,63,592.47
A,1,5,64,652.50
A,1,5,65,565.09
A,1,5,66,574.82
A,1,5,67,577.01
A,1,5,68,750.64
A,1,5,69,764.01
A,1,5,70,606.22
A,1,5,71,605.62
A,1,5,72,581.17
A,1,5,73,611.86
A,1,5,74,736.05
A,1,5,75,548.41
A,1,5,76,477.47
A,1,5,77,701.90
A,1,5,78,685.69
A,1,5,79,533.37
A,1,5,80,571.92
A,1,5,81,528.47
A,1,5,82,510.93
A,1,5,83,524.89
A,1,5,84,676.31
A,1,5,85,626.51
A,1,5,86,599.08
A,1,5,87,517.05
A,1,5,88,529.26
A,1,5,89,592.35
A,1,5,90,528.79
A,1,5,91,516.35
A,1,5,92,601.70
A,1,5,93,553.91
A,1,5,94,618.30
A,1,5,95,716.11
A,1,5,96,539.85
A,1,5,97,507.75
A,1,5,98,564.82
A,1,5,99,572.99
A,1,6,0,806.94
A,1,6,1,748.58
A,1,6,2,828.20
A,1,6,3,760.45
A,1,6,4,861.15
A,1,6,5,888.57
A,1,6,6,781.13
A,1,6,7,805.19
A,1,6,8,683.38
A,1,6,9,793.99
A,1,6,10,732.18
A,1,6,11,754.49
A,1,6,12,800.84
A,1,6,13,687.35
A,1,6,14,697.93
A,1,6,15,748.06
A,1,6,16,709.96
A,1,6,17,699.23
A,1,6,18,627.02
A,1,6,19,573.24
A,1,6,20,668.67
A,1,6,21,590.00
A,1,6,22,833.46
A,1,6,23,570.11
A,1,6,24,688.19
A,1,6,25,668.45
A,1,6,26,648.71
A,1,6,27,667.71
A,1,6,28,599.40
A,1,6,29,699.00
A,1,6,30,652.42
A,1,6,31,552.52
A,1,6,32,747.72
A,1,6,33,712.29
A,1,6,34,1676.40
A,1,6,35,685.48
A,1,6,36,700.21
A,1,6,37,701.65
A,1,6,38,585.88
A,1,6,39,687.27
A,1,6,40,647.08
A,1,6,41,709.24
A,1,6,42,632.77
A,1,6,43,634.20
A,1,6,44,603.29
A,1,6,45,611.18
A,1,6,46,665.66
A,1,6,47,627.67
A,1,6,48,611.99
A,1,6,49,645.14
A,1,6,50,590.72
A,1,6,51,642.02
A,1,6,52,597.79
A,1,6,53,672.42
A,1,6,54,634.29
A,1,6,55,428.09
A,1,6,56,722.72
A,1,6,57,727.65
A,1,6,58,605.82
A,1,6,59,570.08
A,1,6,60,738.62
A,1,6,61,665.58
A,1,6,62,582.48
A,1,6,63,625.06
A,1,6,64,683.93
A,1,6,65,609.23
A,1,6,66,624.95
A,1,6,67,529.29
A,1,6,68,639.72
A,1,6,69,580.49
A,1,6,70,716.39
A,1,6,71,573.25
A,1,6,72,535.53
A,1,6,73,520.32
A,1,6,74,693.43
A,1,6,75,656.28
A,1,6,76,614.46
A,1,6,77,491.98
A,1,6,78,651.87
A,1,6,79,546.88
A,1,6,80,572.59
A,1,6,81,577.23
A,1,6,82,498.39
A,1,6,83,489.09
A,1,6,84,539.30
A,1,6,85,514.07
A,1,6,86,543.55
A,1,6,87,577.36
A,1,6,88,424.40
A,1,6,89,581.87
A,1,6,90,610.85
A,1,6,91,561.88
A,1,6,92,560.43
A,1,6,93,488.88
A,1,6,94,574.81
A,1,6,95,475.27
A,1,6,96,525.84
A,1,6,97,596.75
A,1,6,98,597.29
A,1,6,99,666.89
A,1,7,0,734.74
A,1,7,1,810.67
A,1,7,2,739.71
A,1,7,3,842.83
A,1,7,4,764.55
A,1,7,5,837.23
A,1,7,6,602.66
A,1,7,7,869.07
A,1,7,8,710.35
A,1,7,9,825.25
A,1,7,10,738.55
A,1,7,11,765.74
A,1,7,12,827.72
A,1,7,13,732.63
A,1,7,14,661.29
A,1,7,15,708.63
A,1,7,16,819.78
A,1,7,17,759.43
A,1,7,18,699.32
A,1,7,19,739.41
A,1,7,20,702.53
A,1,7,21,868.29
A,1,7,22,628.79
A,1,7,23,636.06
