dataset,batch_idx,wall_ms
single,0,16334.35
single,1,7872.69
single,2,0.20
single,3,0.11
single,4,0.03
single,5,146.64
single,6,0.08
single,7,0.04
single,8,0.13
single,9,0.10
single,10,0.17
single,11,0.14
single,12,10022.48
single,13,2480.11
single,14,2163.59
single,15,0.18
single,16,0.11
single,17,0.06
single,18,0.07
single,19,0.05
single,20,0.13
single,21,0.07
single,22,0.03
single,23,0.16
single,24,7751.15
single,25,6915.66
single,26,3397.11
single,27,0.09
single,28,0.04
single,29,814.47
single,30,0.14
single,31,0.11
single,32,0.02
single,33,0.02
single,34,0.08
single,35,0.20
single,36,6250.77
single,37,5538.58
single,38,1127.34
single,39,0.11
single,40,0.04
single,41,2288.80
single,42,0.16
single,43,0.09
single,44,0.03
single,45,0.09
single,46,0.08
single,47,0.10
single,48,20060.04
single,49,0.15
single,50,3125.95
single,51,0.11
single,52,0.14
single,53,278.20
single,54,0.15
single,55,0.13
single,56,0.03
single,57,0.16
single,58,0.08
single,59,0.02
single,60,10979.65
single,61,0.08
single,62,7851.22
single,63,0.16
single,64,0.10
single,65,0.10
single,66,0.06
single,67,0.03
single,68,0.16
single,69,0.02
single,70,0.12
single,71,0.13
single,72,7592.59
single,73,0.08
single,74,8484.67
single,75,0.19
single,76,0.12
single,77,10207.09
single,78,0.20
single,79,0.14
single,80,0.03
single,81,0.16
single,82,0.11
single,83,0.14
single,84,11478.75
single,85,0.23
single,86,0.11
single,87,0.07
single,88,0.03
single,89,4292.41
single,90,0.09
single,91,0.17
single,92,0.15
single,93,0.05
single,94,0.18
single,95,0.03
single,96,12160.02
single,97,0.08
single,98,0.19
single,99,0.03
merged,0,3492.92
merged,1,752.89
merged,2,103.96
merged,3,0.26
merged,4,0.06
merged,5,0.02
merged,6,0.08
merged,7,370.82
merged,8,156.09
merged,9,0.21
merged,10,0.19
merged,11,1429.24
merged,12,0.30
merged,13,0.04
merged,14,0.05
merged,15,789.51
merged,16,0.13
merged,17,481.27
merged,18,0.15
merged,19,258.18
merged,20,8358.91
merged,21,0.11
merged,22,0.04
merged,23,0.24
merged,24,0.05
merged,25,0.03
merged,26,0.03
merged,27,0.33
merged,28,0.03
merged,29,0.19
merged,30,0.03
merged,31,0.05
merged,32,3134.01
merged,33,0.09
merged,34,0.12
merged,35,0.14
merged,36,0.04
merged,37,0.17
merged,38,0.03
merged,39,0.09
merged,40,309.45
merged,41,0.11
merged,42,0.03
merged,43,0.08
merged,44,1854.60
merged,45,0.31
merged,46,0.03
merged,47,0.02
merged,48,0.14
merged,49,0.13
merged,50,2279.56
merged,51,0.12
merged,52,0.03
merged,53,0.03
merged,54,0.12
merged,55,0.17
merged,56,0.06
merged,57,0.13
merged,58,0.15
merged,59,0.23
merged,60,0.08
merged,61,0.05
merged,62,5840.18
merged,63,0.29
merged,64,0.06
merged,65,0.08
merged,66,0.18
merged,67,0.16
merged,68,0.03
merged,69,0.03
merged,70,0.03
merged,71,0.17
merged,72,0.17
merged,73,0.05
merged,74,2632.09
merged,75,0.10
merged,76,0.11
merged,77,0.06
merged,78,0.11
merged,79,0.07
merged,80,0.40
merged,81,0.09
merged,82,0.05
merged,83,0.10
merged,84,0.23
merged,85,0.22
merged,86,1537.71
merged,87,0.08
merged,88,0.03
merged,89,0.03
merged,90,0.03
merged,91,0.16
merged,92,0.19
merged,93,0.10
merged,94,0.05
merged,95,0.12
merged,96,0.23
merged,97,0.13
merged,98,5324.05
merged,99,0.08
