phase,dataset,num_workers,idx,wall_ms
phase1,single,-1,0,1952.92
phase1,single,-1,1,1259.92
phase1,single,-1,2,3407.48
phase1,single,-1,3,1252.59
phase1,single,-1,4,1598.03
phase1,single,-1,5,1222.86
phase1,single,-1,6,1243.38
phase1,single,-1,7,1369.13
phase1,single,-1,8,1326.58
phase1,single,-1,9,1160.01
phase1,single,-1,10,1309.81
phase1,single,-1,11,1383.36
phase1,single,-1,12,1253.58
phase1,single,-1,13,1202.47
phase1,single,-1,14,1183.15
phase1,single,-1,15,1250.97
phase1,single,-1,16,1251.68
phase1,single,-1,17,1188.22
phase1,single,-1,18,5329.91
phase1,single,-1,19,1213.69
phase1,single,-1,20,1236.03
phase1,single,-1,21,1216.92
phase1,single,-1,22,1318.25
phase1,single,-1,23,1318.46
phase1,single,-1,24,1190.05
phase1,single,-1,25,1197.99
phase1,single,-1,26,1232.51
phase1,single,-1,27,1148.36
phase1,single,-1,28,1221.90
phase1,single,-1,29,1178.78
phase1,single,-1,30,1373.34
phase1,single,-1,31,1326.87
phase1,single,-1,32,1255.47
phase1,single,-1,33,1287.42
phase1,single,-1,34,1503.28
phase1,single,-1,35,1091.21
phase1,single,-1,36,1403.83
phase1,single,-1,37,1332.98
phase1,single,-1,38,1166.98
phase1,single,-1,39,1245.16
phase1,single,-1,40,1240.89
phase1,single,-1,41,1220.56
phase1,single,-1,42,1336.19
phase1,single,-1,43,1317.73
phase1,single,-1,44,1272.93
phase1,single,-1,45,1192.92
phase1,single,-1,46,1259.70
phase1,single,-1,47,1249.87
phase1,single,-1,48,1302.28
phase1,single,-1,49,1570.28
phase1,merged,-1,0,172.71
phase1,merged,-1,1,153.83
phase1,merged,-1,2,152.52
phase1,merged,-1,3,145.31
phase1,merged,-1,4,115.75
phase1,merged,-1,5,138.76
phase1,merged,-1,6,98.41
phase1,merged,-1,7,120.56
phase1,merged,-1,8,126.02
phase1,merged,-1,9,121.22
phase1,merged,-1,10,112.19
phase1,merged,-1,11,133.13
phase1,merged,-1,12,184.42
phase1,merged,-1,13,115.62
phase1,merged,-1,14,112.92
phase1,merged,-1,15,191.32
phase1,merged,-1,16,152.59
phase1,merged,-1,17,167.86
phase1,merged,-1,18,212.19
phase1,merged,-1,19,105.37
phase1,merged,-1,20,127.04
phase1,merged,-1,21,185.68
phase1,merged,-1,22,144.17
phase1,merged,-1,23,197.19
phase1,merged,-1,24,120.48
phase1,merged,-1,25,207.67
phase1,merged,-1,26,182.58
phase1,merged,-1,27,102.32
phase1,merged,-1,28,118.50
phase1,merged,-1,29,103.21
phase1,merged,-1,30,258.86
phase1,merged,-1,31,199.67
phase1,merged,-1,32,132.06
phase1,merged,-1,33,178.76
phase1,merged,-1,34,105.34
phase1,merged,-1,35,66.80
phase1,merged,-1,36,183.19
phase1,merged,-1,37,2947.00
phase1,merged,-1,38,151.97
phase1,merged,-1,39,149.93
phase1,merged,-1,40,102.74
phase1,merged,-1,41,172.83
