sample_idx,phase,wall_ms
0,_parse_index,0.007
1,_parse_index,0.009
2,_parse_index,0.009
3,_parse_index,0.009
4,_parse_index,0.009
5,_parse_index,0.008
6,_parse_index,0.009
7,_parse_index,0.009
8,_parse_index,0.008
9,_parse_index,0.009
10,_parse_index,0.009
11,_parse_index,0.008
12,_parse_index,0.008
13,_parse_index,0.008
14,_parse_index,0.010
15,_parse_index,0.008
16,_parse_index,0.009
17,_parse_index,0.009
18,_parse_index,0.012
19,_parse_index,0.009
20,_parse_index,0.008
21,_parse_index,0.008
22,_parse_index,0.008
23,_parse_index,0.008
24,_parse_index,0.010
25,_parse_index,0.009
26,_parse_index,0.008
27,_parse_index,0.008
28,_parse_index,0.008
29,_parse_index,0.009
30,_parse_index,0.008
31,_parse_index,0.008
32,_parse_index,0.008
33,_parse_index,0.009
34,_parse_index,0.007
35,_parse_index,0.008
36,_parse_index,0.008
37,_parse_index,0.008
38,_parse_index,0.008
39,_parse_index,0.008
40,_parse_index,0.008
41,_parse_index,0.010
42,_parse_index,0.008
43,_parse_index,0.008
44,_parse_index,0.008
45,_parse_index,0.008
46,_parse_index,0.008
47,_parse_index,0.008
48,_parse_index,0.008
49,_parse_index,0.008
50,_parse_index,0.009
51,_parse_index,0.008
52,_parse_index,0.008
53,_parse_index,0.008
54,_parse_index,0.008
55,_parse_index,0.008
56,_parse_index,0.009
57,_parse_index,0.009
58,_parse_index,0.009
59,_parse_index,0.008
60,_parse_index,0.008
61,_parse_index,0.008
62,_parse_index,0.010
63,_parse_index,0.008
64,_parse_index,0.010
65,_parse_index,0.008
66,_parse_index,0.009
67,_parse_index,0.008
68,_parse_index,0.009
69,_parse_index,0.008
70,_parse_index,0.008
71,_parse_index,0.009
72,_parse_index,0.009
73,_parse_index,0.009
74,_parse_index,0.008
75,_parse_index,0.008
76,_parse_index,0.008
77,_parse_index,0.009
78,_parse_index,0.009
79,_parse_index,0.009
80,_parse_index,0.009
81,_parse_index,0.009
82,_parse_index,0.009
83,_parse_index,0.008
84,_parse_index,0.008
85,_parse_index,0.008
86,_parse_index,0.009
87,_parse_index,0.008
88,_parse_index,0.008
89,_parse_index,0.010
90,_parse_index,0.009
91,_parse_index,0.009
92,_parse_index,0.009
93,_parse_index,0.008
94,_parse_index,0.008
95,_parse_index,0.009
96,_parse_index,0.008
97,_parse_index,0.008
98,_parse_index,0.008
99,_parse_index,0.009
0,_build_continuous_sequence,14.882
1,_build_continuous_sequence,14.755
2,_build_continuous_sequence,14.633
3,_build_continuous_sequence,14.914
4,_build_continuous_sequence,14.790
5,_build_continuous_sequence,16.066
6,_build_continuous_sequence,15.579
7,_build_continuous_sequence,14.877
8,_build_continuous_sequence,15.380
9,_build_continuous_sequence,14.797
10,_build_continuous_sequence,14.508
11,_build_continuous_sequence,15.012
12,_build_continuous_sequence,15.751
13,_build_continuous_sequence,14.889
14,_build_continuous_sequence,14.594
15,_build_continuous_sequence,14.947
16,_build_continuous_sequence,15.360
17,_build_continuous_sequence,14.988
18,_build_continuous_sequence,14.857
19,_build_continuous_sequence,14.953
20,_build_continuous_sequence,14.537
21,_build_continuous_sequence,15.550
22,_build_continuous_sequence,15.106
23,_build_continuous_sequence,16.054
24,_build_continuous_sequence,14.788
25,_build_continuous_sequence,15.604
26,_build_continuous_sequence,15.905
27,_build_continuous_sequence,15.322
28,_build_continuous_sequence,15.638
29,_build_continuous_sequence,16.051
30,_build_continuous_sequence,14.849
31,_build_continuous_sequence,14.204
32,_build_continuous_sequence,14.231
33,_build_continuous_sequence,14.703
34,_build_continuous_sequence,14.677
35,_build_continuous_sequence,14.726
36,_build_continuous_sequence,14.229
37,_build_continuous_sequence,14.124
38,_build_continuous_sequence,14.787
39,_build_continuous_sequence,14.380
40,_build_continuous_sequence,14.387
41,_build_continuous_sequence,14.807
42,_build_continuous_sequence,14.120
43,_build_continuous_sequence,14.902
44,_build_continuous_sequence,15.254
45,_build_continuous_sequence,14.538
46,_build_continuous_sequence,14.415
47,_build_continuous_sequence,14.094
48,_build_continuous_sequence,14.666
49,_build_continuous_sequence,14.367
50,_build_continuous_sequence,15.242
51,_build_continuous_sequence,13.794
52,_build_continuous_sequence,14.338
53,_build_continuous_sequence,14.158
54,_build_continuous_sequence,14.444
55,_build_continuous_sequence,14.204
56,_build_continuous_sequence,15.177
57,_build_continuous_sequence,14.903
58,_build_continuous_sequence,14.638
59,_build_continuous_sequence,14.164
60,_build_continuous_sequence,14.096
61,_build_continuous_sequence,15.081
62,_build_continuous_sequence,15.014
63,_build_continuous_sequence,14.483
64,_build_continuous_sequence,15.484
65,_build_continuous_sequence,15.162
66,_build_continuous_sequence,14.541
67,_build_continuous_sequence,14.200
68,_build_continuous_sequence,15.023
69,_build_continuous_sequence,15.024
70,_build_continuous_sequence,15.182
71,_build_continuous_sequence,14.844
72,_build_continuous_sequence,15.382
73,_build_continuous_sequence,14.915
74,_build_continuous_sequence,15.315
75,_build_continuous_sequence,14.587
76,_build_continuous_sequence,14.888
77,_build_continuous_sequence,15.516
78,_build_continuous_sequence,14.861
79,_build_continuous_sequence,14.320
80,_build_continuous_sequence,15.236
81,_build_continuous_sequence,14.811
82,_build_continuous_sequence,15.889
83,_build_continuous_sequence,14.840
84,_build_continuous_sequence,14.989
85,_build_continuous_sequence,14.323
86,_build_continuous_sequence,14.909
87,_build_continuous_sequence,14.883
88,_build_continuous_sequence,14.132
89,_build_continuous_sequence,14.551
90,_build_continuous_sequence,15.007
91,_build_continuous_sequence,14.987
92,_build_continuous_sequence,15.201
93,_build_continuous_sequence,14.585
94,_build_continuous_sequence,14.299
95,_build_continuous_sequence,15.408
96,_build_continuous_sequence,14.626
97,_build_continuous_sequence,14.345
98,_build_continuous_sequence,14.148
99,_build_continuous_sequence,15.110
0,_extract_kg_sequence,0.092
1,_extract_kg_sequence,0.080
2,_extract_kg_sequence,0.082
3,_extract_kg_sequence,0.082
4,_extract_kg_sequence,0.080
5,_extract_kg_sequence,0.092
6,_extract_kg_sequence,0.074
7,_extract_kg_sequence,0.073
8,_extract_kg_sequence,0.079
9,_extract_kg_sequence,0.080
10,_extract_kg_sequence,0.076
11,_extract_kg_sequence,0.072
12,_extract_kg_sequence,0.071
13,_extract_kg_sequence,0.079
14,_extract_kg_sequence,0.081
15,_extract_kg_sequence,0.079
16,_extract_kg_sequence,0.070
17,_extract_kg_sequence,0.082
18,_extract_kg_sequence,0.078
19,_extract_kg_sequence,0.079
20,_extract_kg_sequence,0.079
21,_extract_kg_sequence,0.079
22,_extract_kg_sequence,0.072
23,_extract_kg_sequence,0.073
24,_extract_kg_sequence,0.081
25,_extract_kg_sequence,0.070
26,_extract_kg_sequence,0.079
27,_extract_kg_sequence,0.071
28,_extract_kg_sequence,0.083
29,_extract_kg_sequence,0.094
30,_extract_kg_sequence,0.075
31,_extract_kg_sequence,0.079
32,_extract_kg_sequence,0.075
33,_extract_kg_sequence,0.070
34,_extract_kg_sequence,0.077
35,_extract_kg_sequence,0.078
36,_extract_kg_sequence,0.076
37,_extract_kg_sequence,0.077
38,_extract_kg_sequence,0.076
39,_extract_kg_sequence,0.077
40,_extract_kg_sequence,0.077
41,_extract_kg_sequence,0.076
42,_extract_kg_sequence,0.077
43,_extract_kg_sequence,0.081
44,_extract_kg_sequence,0.070
45,_extract_kg_sequence,0.081
46,_extract_kg_sequence,0.080
47,_extract_kg_sequence,0.081
48,_extract_kg_sequence,0.079
49,_extract_kg_sequence,0.079
50,_extract_kg_sequence,0.079
51,_extract_kg_sequence,0.081
