START TIME: Thu Jun 11 15:23:45 CEST 2026
Master: as06r4b26:29500
Launch command: uv run accelerate launch     --multi_gpu     --num_processes $(( 1 * 4 ))     --num_machines 1     --machine_rank ${SLURM_PROCID}     --main_process_ip as06r4b26     --main_process_port 29500     --mixed_precision bf16     --dynamo_backend no     /gpfs/scratch/bsc32/bsc096444/ai4land-tfm/src/ai4land/training/train.py     --config-name debug-single     system.slurm_job_id=41654672     training.resume.path=
[2026-06-11 15:25:16,789][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-11 15:25:16,792][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-11 15:25:22,283][root][INFO] - Train: 4480000 samples, Val: 640000 samples
[2026-06-11 15:25:23,720][root][INFO] - Starting training from epoch 1
[2026-06-11 15:25:42,968][root][INFO] - Epoch [1/1], Batch [1/200], Loss: 2.2339 (Overall: 2.1519, Change: 2.3159), TF Ratio: 1.000
[2026-06-11 15:25:43,124][root][INFO] - Epoch [1/1], Batch [2/200], Loss: 2.1736 (Overall: 2.0633, Change: 2.1632), TF Ratio: 1.000
[2026-06-11 15:25:43,277][root][INFO] - Epoch [1/1], Batch [3/200], Loss: 2.1713 (Overall: 2.1312, Change: 2.2027), TF Ratio: 0.999
[2026-06-11 15:26:12,062][root][INFO] - Epoch [1/1], Batch [4/200], Loss: 2.1501 (Overall: 2.0344, Change: 2.1385), TF Ratio: 0.999
[2026-06-11 15:26:12,480][root][INFO] - Epoch [1/1], Batch [5/200], Loss: 2.0979 (Overall: 1.7274, Change: 2.0504), TF Ratio: 0.999
[2026-06-11 15:26:12,646][root][INFO] - Epoch [1/1], Batch [6/200], Loss: 2.0345 (Overall: 1.5554, Change: 1.8793), TF Ratio: 0.999
[2026-06-11 15:26:12,803][root][INFO] - Epoch [1/1], Batch [7/200], Loss: 2.0074 (Overall: 1.6469, Change: 2.0427), TF Ratio: 0.999
[2026-06-11 15:26:12,966][root][INFO] - Epoch [1/1], Batch [8/200], Loss: 1.9896 (Overall: 1.7590, Change: 1.9711), TF Ratio: 0.998
[2026-06-11 15:26:13,596][root][INFO] - Epoch [1/1], Batch [9/200], Loss: 1.9657 (Overall: 1.5339, Change: 2.0162), TF Ratio: 0.998
[2026-06-11 15:26:13,752][root][INFO] - Epoch [1/1], Batch [10/200], Loss: 1.9319 (Overall: 1.4615, Change: 1.7929), TF Ratio: 0.998
[2026-06-11 15:26:13,927][root][INFO] - Epoch [1/1], Batch [11/200], Loss: 1.9193 (Overall: 1.4622, Change: 2.1245), TF Ratio: 0.998
[2026-06-11 15:26:14,092][root][INFO] - Epoch [1/1], Batch [12/200], Loss: 1.9137 (Overall: 1.6309, Change: 2.0735), TF Ratio: 0.998
[2026-06-11 15:26:14,248][root][INFO] - Epoch [1/1], Batch [13/200], Loss: 1.8971 (Overall: 1.4112, Change: 1.9855), TF Ratio: 0.997
[2026-06-11 15:26:14,404][root][INFO] - Epoch [1/1], Batch [14/200], Loss: 1.8724 (Overall: 1.3435, Change: 1.7590), TF Ratio: 0.997
[2026-06-11 15:26:14,560][root][INFO] - Epoch [1/1], Batch [15/200], Loss: 1.8665 (Overall: 1.4891, Change: 2.0774), TF Ratio: 0.997
[2026-06-11 15:26:48,951][root][INFO] - Epoch [1/1], Batch [16/200], Loss: 1.8590 (Overall: 1.6126, Change: 1.8804), TF Ratio: 0.997
