dataset,num_workers,batch_idx,wall_ms
single,1,0,12510.04
single,1,1,10333.25
single,1,2,10473.04
single,1,3,11095.38
single,1,4,10366.81
single,1,5,11449.37
single,1,6,14385.33
single,1,7,14522.33
single,1,8,10951.07
single,1,9,17954.78
single,1,10,18330.73
single,1,11,10064.30
single,1,12,32884.47
single,1,13,9813.37
single,1,14,9803.87
single,1,15,10662.85
single,1,16,10111.60
single,1,17,23154.97
single,1,18,9561.53
single,1,19,9852.10
single,1,20,9635.76
single,1,21,9684.92
single,1,22,13447.03
single,1,23,10171.66
single,1,24,13901.74
single,1,25,35198.94
single,1,26,10456.83
single,1,27,9248.54
single,1,28,11236.65
single,1,29,10265.38
single,1,30,10342.14
single,1,31,9747.92
single,1,32,9925.89
single,1,33,10001.73
single,1,34,10204.89
single,1,35,9556.09
single,1,36,13392.70
single,1,37,10239.14
single,1,38,14780.77
single,1,39,10569.48
single,4,0,13861.40
single,4,1,0.10
single,4,2,7017.19
single,4,3,427.48
single,4,4,22105.87
single,4,5,0.17
single,4,6,0.22
single,4,7,4492.81
single,4,8,17624.02
single,4,9,0.09
single,4,10,0.04
single,4,11,0.04
single,4,12,10950.83
single,4,13,0.11
single,4,14,0.04
single,4,15,0.28
single,4,16,10360.11
single,4,17,0.08
single,4,18,0.11
single,4,19,0.11
single,4,20,10609.82
single,4,21,0.18
single,4,22,0.03
single,4,23,0.02
single,4,24,11833.79
single,4,25,0.09
single,4,26,0.03
single,4,27,0.22
single,4,28,10320.56
single,4,29,0.09
single,4,30,5992.49
single,4,31,7751.17
single,4,32,0.12
single,4,33,3321.18
single,4,34,0.18
single,4,35,7838.49
single,4,36,0.11
single,4,37,7789.78
single,4,38,0.20
single,4,39,3465.93
single,8,0,11998.02
single,8,1,682.04
single,8,2,493.99
single,8,3,0.11
single,8,4,10278.78
single,8,5,0.09
single,8,6,0.05
single,8,7,3592.89
single,8,8,0.23
single,8,9,0.16
single,8,10,0.12
single,8,11,0.11
single,8,12,8029.30
single,8,13,791.97
single,8,14,0.10
single,8,15,22800.97
single,8,16,0.20
single,8,17,0.03
single,8,18,636.64
single,8,19,0.23
single,8,20,0.03
single,8,21,16647.09
single,8,22,0.15
single,8,23,0.06
single,8,24,0.04
single,8,25,0.28
single,8,26,8135.51
single,8,27,0.18
single,8,28,0.22
single,8,29,13905.14
single,8,30,0.19
single,8,31,0.04
single,8,32,0.12
single,8,33,0.05
single,8,34,0.10
single,8,35,0.25
single,8,36,0.29
single,8,37,11781.23
single,8,38,0.25
single,8,39,0.17
single,12,0,22239.31
single,12,1,0.16
single,12,2,0.15
single,12,3,0.11
single,12,4,0.22
single,12,5,0.04
single,12,6,0.12
single,12,7,0.04
single,12,8,0.04
single,12,9,7113.27
single,12,10,0.11
single,12,11,0.25
single,12,12,4990.90
single,12,13,0.21
single,12,14,0.04
single,12,15,0.11
single,12,16,0.03
single,12,17,0.03
single,12,18,0.17
single,12,19,0.05
single,12,20,0.31
single,12,21,7386.22
single,12,22,0.16
single,12,23,0.16
single,12,24,4595.28
single,12,25,0.11
single,12,26,0.14
single,12,27,0.12
single,12,28,0.21
single,12,29,0.08
single,12,30,0.03
single,12,31,3203.55
single,12,32,0.24
single,12,33,16376.26
single,12,34,0.11
single,12,35,0.11
single,12,36,0.14
single,12,37,0.19
single,12,38,0.04
single,12,39,0.18
single,20,0,15215.11
single,20,1,0.26
single,20,2,0.04
single,20,3,2408.69
single,20,4,0.12
single,20,5,0.59
single,20,6,0.09
single,20,7,0.03
single,20,8,0.22
single,20,9,0.08
single,20,10,0.25
single,20,11,1264.09
single,20,12,0.15
single,20,13,0.22
single,20,14,0.11
single,20,15,0.08
single,20,16,5002.66
single,20,17,0.27
single,20,18,0.19
single,20,19,0.26
single,20,20,4293.39
single,20,21,3997.53
single,20,22,0.19
single,20,23,0.20
single,20,24,5786.58
single,20,25,1500.04
single,20,26,2379.35
single,20,27,0.29
single,20,28,0.13
single,20,29,0.29
single,20,30,0.09
single,20,31,0.42
single,20,32,0.21
single,20,33,0.14
single,20,34,0.20
single,20,35,0.46
single,20,36,0.25
single,20,37,0.15
single,20,38,0.21
single,20,39,0.23
merged,1,0,1558.54
merged,1,1,1085.99
merged,1,2,1182.19
merged,1,3,1134.71
merged,1,4,1150.71
merged,1,5,5028.19
merged,1,6,3184.67
merged,1,7,1115.52
merged,1,8,1048.20
merged,1,9,1093.52
merged,1,10,5452.20
merged,1,11,1017.55
merged,1,12,1005.68
merged,1,13,1152.19
merged,1,14,1138.30
merged,1,15,1343.16
merged,1,16,1502.30
merged,1,17,1084.65
merged,1,18,1096.29
merged,1,19,1088.78
merged,1,20,1053.71
merged,1,21,1032.96
merged,1,22,14019.31
merged,1,23,971.54
merged,1,24,1184.47
merged,1,25,1147.15
merged,1,26,1132.92
merged,1,27,852.43
merged,1,28,1107.49
merged,1,29,1132.83
merged,1,30,1030.44
merged,1,31,1666.50
merged,1,32,953.69
merged,1,33,1036.27
merged,1,34,1993.48
merged,1,35,1013.05
merged,1,36,883.60
merged,1,37,1008.95
merged,1,38,881.45
merged,1,39,943.41
