dataset,sample_idx,var,n_chunks
single,0,secdf,8
single,0,range,8
single,0,c4ann,8
single,0,pastr,8
single,0,c3per,8
single,0,primf,8
single,0,urban,8
single,0,secmb,8
single,0,primn,8
single,0,secdn,8
single,0,c3ann,8
single,0,c4per,8
single,0,c3nfx,8
single,0,secma,8
single,0,number_of_people,8
single,0,kg_class,8
single,0,weighted_PCT_SAND,4
single,0,weighted_ORGANIC,4
single,0,weighted_PCT_CLAY,4
single,0,SLOPE,4
single,0,elevation,4
single,0,ASPECT,4
single,0,LULC_states,12
single,1,primn,2
single,1,secdf,2
single,1,primf,2
single,1,pastr,2
single,1,range,2
single,1,c3per,2
single,1,urban,2
single,1,c4ann,2
single,1,c4per,2
single,1,c3nfx,2
single,1,secdn,2
single,1,secmb,2
single,1,c3ann,2
single,1,secma,2
single,1,number_of_people,2
single,1,kg_class,2
single,1,weighted_PCT_SAND,1
single,1,weighted_PCT_CLAY,1
single,1,weighted_ORGANIC,1
single,1,SLOPE,1
single,1,elevation,1
single,1,ASPECT,1
single,1,LULC_states,3
single,2,range,2
single,2,primf,2
single,2,secdf,2
single,2,primn,2
single,2,pastr,2
single,2,c4ann,2
single,2,c3per,2
single,2,urban,2
single,2,c4per,2
single,2,secmb,2
single,2,secdn,2
single,2,c3ann,2
single,2,c3nfx,2
single,2,secma,2
single,2,number_of_people,2
single,2,kg_class,2
single,2,weighted_PCT_SAND,1
single,2,weighted_PCT_CLAY,1
single,2,weighted_ORGANIC,1
single,2,SLOPE,1
single,2,elevation,1
single,2,ASPECT,1
single,2,LULC_states,3
single,3,secdf,4
single,3,range,4
single,3,primf,4
single,3,primn,4
single,3,pastr,4
single,3,c4per,4
single,3,c3per,4
single,3,secmb,4
single,3,urban,4
single,3,secma,4
single,3,secdn,4
single,3,c3ann,4
single,3,c3nfx,4
single,3,c4ann,4
single,3,number_of_people,4
single,3,kg_class,4
single,3,weighted_PCT_SAND,2
single,3,weighted_PCT_CLAY,2
single,3,weighted_ORGANIC,2
single,3,SLOPE,2
single,3,elevation,2
single,3,ASPECT,2
single,3,LULC_states,6
single,4,secdf,8
single,4,range,8
single,4,primn,8
single,4,primf,8
single,4,pastr,8
single,4,c4per,8
single,4,c3per,8
single,4,c4ann,8
single,4,urban,8
single,4,secmb,8
single,4,secma,8
single,4,secdn,8
single,4,c3ann,8
single,4,c3nfx,8
single,4,number_of_people,8
single,4,kg_class,8
single,4,weighted_ORGANIC,4
single,4,weighted_PCT_CLAY,4
single,4,weighted_PCT_SAND,4
single,4,SLOPE,4
single,4,ASPECT,4
single,4,elevation,4
single,4,LULC_states,12
single,5,secdf,4
single,5,range,4
single,5,primn,4
single,5,primf,4
single,5,c4per,4
single,5,pastr,4
single,5,c3per,4
single,5,c4ann,4
single,5,secmb,4
single,5,urban,4
single,5,c3nfx,4
single,5,secdn,4
single,5,secma,4
single,5,c3ann,4
single,5,number_of_people,4
single,5,kg_class,4
single,5,weighted_PCT_SAND,2
single,5,weighted_PCT_CLAY,2
single,5,SLOPE,2
single,5,weighted_ORGANIC,2
single,5,elevation,2
single,5,ASPECT,2
single,5,LULC_states,6
single,6,secdf,4
single,6,range,4
single,6,primn,4
single,6,primf,4
single,6,c4ann,4
single,6,c4per,4
single,6,pastr,4
single,6,c3per,4
single,6,urban,4
single,6,secmb,4
single,6,secma,4
single,6,secdn,4
single,6,c3ann,4
single,6,c3nfx,4
single,6,number_of_people,4
single,6,kg_class,4
single,6,weighted_PCT_SAND,2
single,6,weighted_ORGANIC,2
single,6,SLOPE,2
single,6,weighted_PCT_CLAY,2
single,6,elevation,2
single,6,ASPECT,2
single,6,LULC_states,6
single,7,secdf,8
single,7,range,8
single,7,primn,8
single,7,pastr,8
single,7,primf,8
single,7,c4per,8
single,7,urban,8
single,7,c4ann,8
single,7,c3per,8
single,7,secmb,8
single,7,secma,8
single,7,c3nfx,8
single,7,secdn,8
single,7,c3ann,8
single,7,number_of_people,8
single,7,kg_class,8
single,7,weighted_PCT_SAND,4
single,7,weighted_PCT_CLAY,4
single,7,weighted_ORGANIC,4
single,7,elevation,4
single,7,SLOPE,4
single,7,ASPECT,4
single,7,LULC_states,12
single,8,secdf,8
single,8,primf,8
single,8,range,8
single,8,pastr,8
single,8,primn,8
single,8,c4per,8
single,8,c3per,8
single,8,c4ann,8
single,8,urban,8
single,8,secmb,8
single,8,c3nfx,8
single,8,secma,8
single,8,secdn,8
single,8,c3ann,8
single,8,number_of_people,8
single,8,kg_class,8
single,8,weighted_PCT_SAND,4
single,8,weighted_PCT_CLAY,4
single,8,weighted_ORGANIC,4
single,8,SLOPE,4
single,8,elevation,4
single,8,ASPECT,4
single,8,LULC_states,12
single,9,secdf,2
single,9,range,2
single,9,primn,2
single,9,c4per,2
single,9,pastr,2
single,9,primf,2
single,9,c4ann,2
single,9,c3per,2
single,9,urban,2
single,9,secma,2
single,9,secmb,2
single,9,secdn,2
single,9,c3nfx,2
single,9,c3ann,2
single,9,number_of_people,2
single,9,kg_class,2
single,9,weighted_PCT_SAND,1
single,9,weighted_ORGANIC,1
single,9,weighted_PCT_CLAY,1
single,9,SLOPE,1
single,9,elevation,1
single,9,ASPECT,1
single,9,LULC_states,3
single,10,range,4
single,10,secdf,4
single,10,primn,4
single,10,primf,4
single,10,pastr,4
single,10,c4ann,4
single,10,c3per,4
single,10,c4per,4
single,10,urban,4
single,10,secma,4
single,10,secdn,4
single,10,secmb,4
single,10,c3nfx,4
single,10,c3ann,4
single,10,number_of_people,4
single,10,kg_class,4
single,10,weighted_PCT_SAND,2
single,10,weighted_PCT_CLAY,2
single,10,weighted_ORGANIC,2
single,10,SLOPE,2
single,10,elevation,2
single,10,ASPECT,2
single,10,LULC_states,6
single,11,secdf,4
single,11,range,4
single,11,primn,4
single,11,primf,4
single,11,pastr,4
single,11,c4ann,4
single,11,c4per,4
single,11,c3per,4
single,11,secmb,4
single,11,urban,4
single,11,secma,4
single,11,c3nfx,4
single,11,c3ann,4
single,11,secdn,4
single,11,number_of_people,4
single,11,kg_class,4
single,11,weighted_PCT_SAND,2
single,11,weighted_PCT_CLAY,2
single,11,weighted_ORGANIC,2
single,11,SLOPE,2
single,11,ASPECT,2
single,11,elevation,2
single,11,LULC_states,6
single,12,secdf,4
single,12,range,4
single,12,primn,4
single,12,primf,4
single,12,pastr,4
single,12,c4ann,4
single,12,c4per,4
single,12,c3per,4
single,12,urban,4
single,12,secmb,4
single,12,secdn,4
single,12,secma,4
