var,chunk_file,size_bytes
dynamic/variable,0,193
dynamic/longitude,0,8634
dynamic/latitude,0,6743
dynamic/time,0,72
dynamic/data,0.14.7.35,4349744
dynamic/data,0.14.21.29,74903
dynamic/data,0.11.28.47,71960
dynamic/data,0.7.15.26,71960
dynamic/data,0.9.29.48,71960
dynamic/data,0.10.9.16,7980295
dynamic/data,0.3.19.33,71960
dynamic/data,0.0.3.31,133212
dynamic/data,0.10.32.61,71960
dynamic/data,0.15.7.4,71960
dynamic/data,0.7.35.2,71980
dynamic/data,0.10.25.52,71960
dynamic/data,0.7.3.7,128961
dynamic/data,0.12.22.61,4235393
dynamic/data,0.15.1.19,647459
dynamic/data,0.0.5.10,1045165
dynamic/data,0.9.34.19,71960
dynamic/data,0.5.18.21,5874770
dynamic/data,0.14.4.30,1048615
dynamic/data,0.5.3.24,675680
dynamic/data,0.9.7.67,71960
dynamic/data,0.1.17.16,71960
dynamic/data,0.2.21.60,1851540
dynamic/data,0.1.7.18,4310219
dynamic/data,0.0.24.59,354911
dynamic/data,0.10.33.10,71960
dynamic/data,0.2.30.29,71960
dynamic/data,0.13.22.41,6939419
dynamic/data,0.5.27.56,71960
dynamic/data,0.15.30.29,71960
dynamic/data,0.15.4.49,1487327
dynamic/data,0.11.1.41,73360
dynamic/data,0.4.4.20,733176
dynamic/data,0.2.19.67,117058
dynamic/data,0.3.14.28,71960
dynamic/data,0.7.11.10,71960
dynamic/data,0.9.30.49,71960
dynamic/data,0.7.32.51,71960
dynamic/data,0.0.19.13,71960
dynamic/data,0.3.11.25,71960
dynamic/data,0.12.18.4,72292
dynamic/data,0.9.19.6,71960
dynamic/data,0.10.29.59,71960
dynamic/data,0.1.33.23,84876
dynamic/data,0.5.8.61,6815889
dynamic/data,0.3.2.19,783105
dynamic/data,0.12.11.21,71960
dynamic/data,0.1.20.58,72068
dynamic/data,0.15.9.23,71960
dynamic/data,0.13.17.67,72911
dynamic/data,0.4.5.23,71960
dynamic/data,0.0.2.68,71960
dynamic/data,0.9.25.27,71960
dynamic/data,0.13.7.68,73929
dynamic/data,0.5.12.67,71960
dynamic/data,0.8.1.10,71960
dynamic/data,0.0.4.47,1659967
dynamic/data,0.2.1.45,103496
dynamic/data,0.2.31.51,71960
dynamic/data,0.1.29.42,71960
dynamic/data,0.5.35.21,71980
dynamic/data,0.4.35.38,71980
dynamic/data,0.2.29.54,71960
dynamic/data,0.5.2.60,71960
dynamic/data,0.0.6.26,71960
dynamic/data,0.13.11.11,77300
dynamic/data,0.12.4.70,331156
dynamic/data,0.15.24.62,5587521
dynamic/data,0.9.7.2,232089
dynamic/data,0.4.28.3,71960
dynamic/data,0.4.15.7,71960
dynamic/data,0.0.10.67,71960
dynamic/data,0.7.19.35,71960
dynamic/data,0.3.0.37,71960
dynamic/data,0.5.13.35,887460
dynamic/data,0.3.29.15,71960
dynamic/data,0.12.23.63,7263201
dynamic/data,0.4.1.14,71960
dynamic/data,0.13.11.44,6496652
dynamic/data,0.13.29.23,82478
dynamic/data,0.1.30.50,75364
dynamic/data,0.10.34.19,71960
dynamic/data,0.4.20.66,71960
dynamic/data,0.5.20.17,71960
dynamic/data,0.15.15.31,484065
dynamic/data,0.1.9.12,6121859
dynamic/data,0.13.29.57,71960
dynamic/data,0.9.26.67,809551
dynamic/data,0.7.14.44,5091843
dynamic/data,0.13.22.8,75196
dynamic/data,0.12.21.51,71960
dynamic/data,0.9.5.48,4280928
dynamic/data,0.4.35.34,71980
dynamic/data,0.4.2.17,777440
dynamic/data,0.2.13.66,71960
dynamic/data,0.15.21.68,167415
