START TIME: Tue Jun 23 17:22:13 CEST 2026
store,array,n_chunk_files
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,ASPECT,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,elevation,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,urban,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,primf,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,primn,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,SLOPE,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,c3per,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,longitude,1
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,latitude,1
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,c3nfx,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,secmb,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,number_of_people,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,secdn,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,kg_class,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,secdf,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,weighted_PCT_CLAY,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,c4ann,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,c4per,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,LULC_states,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,time,1
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,weighted_ORGANIC,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,pastr,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,weighted_PCT_SAND,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,c3ann,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,range,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,secma,40896
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr,TOTAL,710571
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,ASPECT,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,elevation,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,urban,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,primf,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,primn,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,SLOPE,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,c3per,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,longitude,1
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,latitude,1
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,c3nfx,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,secmb,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,number_of_people,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,secdn,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,kg_class,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,secdf,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,weighted_PCT_CLAY,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,c4ann,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,c4per,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,LULC_states,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,time,1
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,weighted_ORGANIC,2556
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,pastr,293940
/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-1901-2015.zarr,weighted_PCT_SAND,2556
