START TIME: Tue Jun 23 18:56:33 CEST 2026
arm,sample_idx,wall_ms
single_small,0,4439.324
single_small,1,1281.332
single_small,2,1273.202
single_small,3,1389.145
single_small,4,1640.313
single_small,5,1358.523
single_small,6,1316.684
single_small,7,1796.644
single_small,8,1477.131
single_small,9,1169.605
single_small,10,1329.698
single_small,11,1319.306
single_small,12,1327.739
single_small,13,1265.479
single_small,14,1312.147
single_small,15,1408.339
single_small,16,1356.208
single_small,17,1159.732
single_small,18,1640.065
single_small,19,1311.160
single_small,20,1313.238
single_small,21,1431.328
single_small,22,1306.111
single_small,23,1339.883
single_small,24,1259.430
single_small,25,1242.702
single_small,26,1409.593
single_small,27,1344.155
single_small,28,1381.275
single_small,29,1228.830
single_small,30,1490.963
single_small,31,1419.866
single_small,32,1350.651
single_small,33,1353.501
single_small,34,1552.995
single_small,35,1077.673
single_small,36,1385.146
single_small,37,1508.354
single_small,38,1335.811
single_small,39,1302.476
single_small,40,1219.714
single_small,41,1306.112
single_small,42,1390.691
single_small,43,1259.644
single_small,44,1305.683
single_small,45,1264.156
single_small,46,1270.037
single_small,47,1255.918
single_small,48,1301.961
single_small,49,1710.040
single_small,50,1467.852
single_small,51,1378.459
single_small,52,1338.562
single_small,53,1487.880
single_small,54,1329.726
single_small,55,1282.690
single_small,56,1282.513
single_small,57,1455.110
single_small,58,1493.137
single_small,59,1363.360
single_small,60,1377.383
single_small,61,1273.705
single_small,62,1583.986
single_small,63,1277.952
single_small,64,1403.446
single_small,65,1290.169
single_small,66,1314.429
single_small,67,1286.871
single_small,68,1210.090
single_small,69,1313.595
single_small,70,1273.657
single_small,71,1346.638
single_small,72,1440.724
single_small,73,1332.856
single_small,74,1210.716
single_small,75,1268.480
single_small,76,1371.172
single_small,77,1335.507
single_small,78,1293.277
single_small,79,1326.431
single_small,80,1727.177
single_small,81,1304.116
single_small,82,1426.549
single_small,83,1329.001
single_small,84,1280.298
single_small,85,1306.140
single_small,86,1388.398
single_small,87,1359.596
single_small,88,1221.497
single_small,89,1216.782
single_small,90,1276.215
single_small,91,1348.630
single_small,92,1300.327
