job_id	dataset	ranks	num_workers	seed	step
41825117	merged	4	8	42	1
41825118	single	8	12	42	2
41825119	merged	8	8	42	3
41825120	single	1	20	42	4
41825121	merged	8	12	42	5
41825122	single	4	20	42	6
41825123	merged	4	12	42	7
41825124	single	8	8	42	8
41825125	merged	8	20	42	9
41825126	single	1	8	42	10
41825127	merged	1	20	42	11
41825128	single	4	8	42	12
41825129	merged	4	20	42	13
41825130	single	4	12	42	14
41825131	merged	1	8	42	15
41825132	single	1	12	42	16
41825133	merged	1	12	42	17
41825134	single	8	20	42	18
41825135	merged	8	8	43	19
41825137	single	4	20	43	20
41825138	merged	8	20	43	21
41825139	single	1	12	43	22
41825140	merged	8	12	43	23
41825141	single	1	20	43	24
41825142	merged	1	20	43	25
41825143	single	4	8	43	26
41825144	merged	4	8	43	27
41825145	single	8	8	43	28
41825146	merged	1	12	43	29
41825147	single	1	8	43	30
41825148	merged	4	20	43	31
41825149	single	4	12	43	32
41825150	merged	4	12	43	33
41825151	single	8	20	43	34
41825152	merged	1	8	43	35
41825153	single	8	12	43	36
41825154	merged	4	12	44	37
41825155	single	8	8	44	38
41825156	merged	4	20	44	39
41825157	single	4	20	44	40
41825158	merged	1	8	44	41
41825159	single	4	8	44	42
41825160	merged	1	20	44	43
41825162	single	1	20	44	44
41825163	merged	8	20	44	45
41825164	single	4	12	44	46
41825166	merged	4	8	44	47
41825167	single	8	20	44	48
41825169	merged	8	12	44	49
41825171	single	8	12	44	50
41825173	merged	1	12	44	51
41825174	single	1	8	44	52
41825176	merged	8	8	44	53
41825177	single	1	12	44	54
41825178	merged	8	12	45	55
41825179	single	4	12	45	56
41825180	merged	8	20	45	57
41825181	single	4	8	45	58
41825182	merged	1	12	45	59
41825183	single	8	20	45	60
41825184	merged	4	20	45	61
41825185	single	4	20	45	62
41825186	merged	1	8	45	63
41825187	single	1	20	45	64
41825188	merged	1	20	45	65
41825189	single	8	8	45	66
41825190	merged	4	8	45	67
41825191	single	1	8	45	68
41825192	merged	8	8	45	69
41825193	single	8	12	45	70
41825194	merged	4	12	45	71
41825195	single	1	12	45	72
41825196	merged	4	8	46	73
41825197	single	1	12	46	74
41825198	merged	8	12	46	75
41825199	single	4	12	46	76
41825201	merged	1	20	46	77
41825202	single	4	8	46	78
41825203	merged	8	20	46	79
41825204	single	4	20	46	80
41825205	merged	4	20	46	81
41825206	single	1	20	46	82
41825207	merged	4	12	46	83
41825208	single	8	8	46	84
41825209	merged	1	8	46	85
41825210	single	8	12	46	86
41825211	merged	8	8	46	87
41825212	single	1	8	46	88
41825213	merged	1	12	46	89
41825214	single	8	20	46	90
